Date,IT Department,Cost Element,Country,Actual
1-Mar-20,Administration,Employee Performance,USA,150
1-Mar-20,Administration,External Labor,United Kingdom,"2,218"
1-Mar-20,Administration,External Labor,USA,"96,906"
1-Mar-20,Administration,Hardware,USA,"2,901"
1-Mar-20,Administration,Inbound Allocations,United Kingdom,666
1-Mar-20,Administration,Internal Labor,Germany,"30,764"
1-Mar-20,Administration,Internal Labor,Italy,"2,193"
1-Mar-20,Administration,Internal Labor,United Kingdom,"21,311"
1-Mar-20,Administration,Internal Labor,USA,"116,809"
1-Mar-20,Administration,Legal,USA,562
1-Mar-20,Administration,Moving,USA,867
1-Mar-20,Administration,Other,Italy,-30
1-Mar-20,Administration,Other,United Kingdom,13
1-Mar-20,Administration,Other,USA,"29,563"
1-Mar-20,Administration,Outbound Allocations,United Kingdom,717
1-Mar-20,Administration,Severance,Italy,"-42,763"
1-Mar-20,Administration,Supplies,USA,466
1-Mar-20,Administration,Telecomm,Italy,82
1-Mar-20,Administration,Telecomm,United Kingdom,215
1-Mar-20,Administration,Telecomm,USA,"1,073"
1-Mar-20,Administration,Training,Germany,"4,064"
1-Mar-20,Administration,Training,USA,88
1-Mar-20,Administration,Travel,Germany,95
1-Mar-20,Administration,Travel,USA,"10,518"
1-Mar-20,Architecture,Depreciation,USA,693
1-Mar-20,Architecture,Employee Performance,USA,4
1-Mar-20,Architecture,Hardware,USA,240
1-Mar-20,Architecture,Internal Labor,USA,"45,385"
1-Mar-20,Architecture,Other,USA,"-1,583"
1-Mar-20,Architecture,Supplies,USA,27
1-Mar-20,Architecture,Taxes,USA,44
1-Mar-20,Architecture,Telecomm,USA,516
1-Mar-20,Architecture,Training,USA,"1,106"
1-Mar-20,Architecture,Travel,USA,"1,649"
1-Mar-20,Business Intelligence,CAPEX,USA,"-4,080"
1-Mar-20,Business Intelligence,Employee Performance,USA,75
1-Mar-20,Business Intelligence,External Labor,USA,"8,366"
1-Mar-20,Business Intelligence,Hardware,USA,426
1-Mar-20,Business Intelligence,Internal Labor,USA,"70,502"
1-Mar-20,Business Intelligence,Other,USA,2
1-Mar-20,Business Intelligence,Supplies,USA,336
1-Mar-20,Business Intelligence,Telecomm,USA,368
1-Mar-20,Business Intelligence,Training,USA,264
1-Mar-20,Core,External Labor,USA,"-1,723"
1-Mar-20,Core,Hardware,USA,10
1-Mar-20,Core,Internal Labor,USA,"23,722"
1-Mar-20,Core,Telecomm,USA,232
1-Mar-20,Core,Travel,USA,"3,773"
1-Mar-20,Core Infrastructure,Amortization,Mexico,"1,002"
1-Mar-20,Core Infrastructure,Depreciation,Brazil,"13,464"
1-Mar-20,Core Infrastructure,Depreciation,Canada,"7,037"
1-Mar-20,Core Infrastructure,Depreciation,Mexico,"3,773"
1-Mar-20,Core Infrastructure,Depreciation,New Zealand,"5,959"
1-Mar-20,Core Infrastructure,Employee Performance,USA,600
1-Mar-20,Core Infrastructure,External Labor,Brazil,"15,448"
1-Mar-20,Core Infrastructure,External Labor,Canada,"20,583"
1-Mar-20,Core Infrastructure,External Labor,Mexico,"7,266"
1-Mar-20,Core Infrastructure,External Labor,New Zealand,"21,891"
1-Mar-20,Core Infrastructure,External Labor,USA,"-157,919"
1-Mar-20,Core Infrastructure,Hardware,Brazil,"1,195"
1-Mar-20,Core Infrastructure,Hardware,Mexico,"2,618"
1-Mar-20,Core Infrastructure,Hardware,New Zealand,"22,247"
1-Mar-20,Core Infrastructure,Hardware,USA,"2,883"
1-Mar-20,Core Infrastructure,Hardware Maintenance,Brazil,"5,142"
1-Mar-20,Core Infrastructure,Hardware Maintenance,Canada,588
1-Mar-20,Core Infrastructure,Hardware Maintenance,Mexico,"12,115"
1-Mar-20,Core Infrastructure,Hardware Maintenance,New Zealand,913
