Date,IT Department,Cost Element,Country,Actual
12/01/2020,Core Infrastructure,Hardware,Mexico,"27,594"
12/01/2020,Core Infrastructure,Hardware,New Zealand,"22,449"
12/01/2020,Core Infrastructure,Hardware,Switzerland,"71,931"
12/01/2020,Core Infrastructure,Hardware,USA,"2,151"
12/01/2020,Core Infrastructure,Hardware Maintenance,Brazil,"1,002"
12/01/2020,Core Infrastructure,Hardware Maintenance,Canada,"30,895"
12/01/2020,Core Infrastructure,Hardware Maintenance,Mexico,"3,780"
12/01/2020,Core Infrastructure,Inbound Allocations,New Zealand,"9,325"
12/01/2020,Core Infrastructure,Inbound Allocations,South Africa,"1,899"
12/01/2020,Core Infrastructure,Internal Labor,Brazil,"8,216"
12/01/2020,Core Infrastructure,Internal Labor,Mexico,"1,889"
12/01/2020,Core Infrastructure,Internal Labor,New Zealand,"38,052"
12/01/2020,Core Infrastructure,Internal Labor,Switzerland,"13,672"
12/01/2020,Core Infrastructure,Internal Labor,USA,"31,477"
12/01/2020,Core Infrastructure,Moving,USA,185
12/01/2020,Core Infrastructure,Other,Austria,"48,847"
12/01/2020,Core Infrastructure,Other,Brazil,"9,382"
12/01/2020,Core Infrastructure,Other,Mexico,"1,806"
12/01/2020,Core Infrastructure,Other,New Zealand,"-18,625"
12/01/2020,Core Infrastructure,Other,South Africa,"-31,036"
12/01/2020,Core Infrastructure,Other,Switzerland,165
12/01/2020,Core Infrastructure,Other,USA,52
12/01/2020,Core Infrastructure,Severance,Brazil,194
12/01/2020,Core Infrastructure,Severance,Mexico,-286
12/01/2020,Core Infrastructure,Severance,New Zealand,436
12/01/2020,Core Infrastructure,Software,Canada,137
12/01/2020,Core Infrastructure,Software,New Zealand,"1,895"
12/01/2020,Core Infrastructure,Software,USA,"-133,155"
12/01/2020,Core Infrastructure,Supplies,Brazil,"-2,636"
12/01/2020,Core Infrastructure,Supplies,Canada,"1,992"
12/01/2020,Core Infrastructure,Supplies,New Zealand,137
12/01/2020,Core Infrastructure,Supplies,USA,18
12/01/2020,Core Infrastructure,Taxes,Brazil,61
12/01/2020,Core Infrastructure,Taxes,USA,9
12/01/2020,Core Infrastructure,Telecomm,Brazil,"3,498"
12/01/2020,Core Infrastructure,Telecomm,Canada,"2,001"
12/01/2020,Core Infrastructure,Telecomm,Mexico,"1,808"
12/01/2020,Core Infrastructure,Telecomm,New Zealand,"16,730"
12/01/2020,Core Infrastructure,Telecomm,Switzerland,90
12/01/2020,Core Infrastructure,Telecomm,USA,417
12/01/2020,Core Infrastructure,Training,Mexico,77
12/01/2020,Core Infrastructure,Training,New Zealand,377
12/01/2020,Core Infrastructure,Training,USA,30
12/01/2020,Core Infrastructure,Travel,Brazil,230
12/01/2020,Core Infrastructure,Travel,Canada,93
12/01/2020,Core Infrastructure,Travel,Mexico,5
12/01/2020,Core Infrastructure,Travel,New Zealand,"11,641"
12/01/2020,Core Infrastructure,Travel,USA,"2,518"
12/01/2020,Core Infrastructure,Vehicles,Mexico,18
12/01/2020,Core Infrastructure,Vehicles,New Zealand,52
12/01/2020,Core Infrastructure,Vehicles,Switzerland,401
12/01/2020,Data Centers,Amortization,USA,176
12/01/2020,Data Centers,CAPEX,USA,15
12/01/2020,Data Centers,Depreciation,Ireland,596
12/01/2020,Data Centers,Depreciation,United Kingdom,"25,138"
12/01/2020,Data Centers,Depreciation,USA,"253,528"
12/01/2020,Data Centers,Employee Performance,USA,"2,809"
12/01/2020,Data Centers,External Labor,Germany,"6,000"
12/01/2020,Data Centers,External Labor,United Kingdom,"120,488"
12/01/2020,Data Centers,External Labor,USA,"397,285"
12/01/2020,Data Centers,Hardware,United Kingdom,"10,316"
12/01/2020,Data Centers,Hardware,USA,"141,501"
12/01/2020,Data Centers,Hardware Maintenance,United Kingdom,"10,948"
12/01/2020,Data Centers,Hardware Maintenance,USA,"130,210"
12/01/2020,Data Centers,Internal Labor,Austria,"3,937"
12/01/2020,Data Centers,Internal Labor,Germany,"8,588"
12/01/2020,Data Centers,Internal Labor,Netherlands,"3,006"
12/01/2020,Data Centers,Internal Labor,United Kingdom,"16,441"
12/01/2020,Data Centers,Internal Labor,USA,"129,020"
12/01/2020,Data Centers,Other,Austria,12
12/01/2020,Data Centers,Other,Netherlands,5
12/01/2020,Data Centers,Other,United Kingdom,105
12/01/2020,Data Centers,Other,USA,344
12/01/2020,Data Centers,Project Expenses,United Kingdom,"46,830"
12/01/2020,Data Centers,Severance,Austria,66
12/01/2020,Data Centers,Software,United Kingdom,"-1,271"
12/01/2020,Data Centers,Software,USA,"67,394"
12/01/2020,Data Centers,Software Maintenance,United Kingdom,"9,968"
12/01/2020,Data Centers,Software Maintenance,USA,"58,132"
12/01/2020,Data Centers,Supplies,USA,155
12/01/2020,Data Centers,Taxes,USA,"17,338"
12/01/2020,Data Centers,Telecomm,Austria,11
12/01/2020,Data Centers,Telecomm,United Kingdom,118
12/01/2020,Data Centers,Telecomm,USA,792
12/01/2020,Data Centers,Training,Austria,-77
12/01/2020,Data Centers,Training,Germany,564
12/01/2020,Data Centers,Training,USA,"14,783"
12/01/2020,Data Centers,Travel,Netherlands,-24
12/01/2020,Data Centers,Travel,United Kingdom,"5,013"
12/01/2020,Data Centers,Travel,USA,"6,318"
12/01/2020,Data Centers,Vehicles,Netherlands,366
12/01/2020,Data Centers,Vehicles,Spain,477
12/01/2020,Data Management,Internal Labor,Germany,"2,892"
12/01/2020,Data Management,Internal Labor,Spain,"5,568"
12/01/2020,Data Management,Other,Germany,-22
12/01/2020,Data Management,Other,Spain,110
12/01/2020,Data Management,Telecomm,Germany,622
12/01/2020,Data Management,Travel,Spain,833
12/01/2020,Data Management,Vehicles,Spain,294
12/01/2020,Development,Employee Performance,USA,955
12/01/2020,Development,External Labor,United Kingdom,697
12/01/2020,Development,External Labor,USA,"320,892"
12/01/2020,Development,Inbound Allocations,United Kingdom,147
12/01/2020,Development,Internal Labor,Belgium,"-3,832"
12/01/2020,Development,Internal Labor,Germany,"1,309"
12/01/2020,Development,Internal Labor,Spain,"3,056"
12/01/2020,Development,Internal Labor,United Kingdom,"9,319"
12/01/2020,Development,Internal Labor,USA,"153,741"
12/01/2020,Development,Moving,USA,"6,537"
12/01/2020,Development,Other,Spain,67
12/01/2020,Development,Other,United Kingdom,5
12/01/2020,Development,Other,USA,"23,038"
12/01/2020,Development,Outbound Allocations,United Kingdom,"1,987"
12/01/2020,Development,Outbound Allocations,USA,"-20,128"
12/01/2020,Development,Software,USA,"237,979"
12/01/2020,Development,Software Maintenance,USA,"46,730"
12/01/2020,Development,Taxes,USA,"2,447"
12/01/2020,Development,Telecomm,Belgium,38
12/01/2020,Development,Telecomm,United Kingdom,23
12/01/2020,Development,Telecomm,USA,633
12/01/2020,Development,Training,Belgium,"1,476"
12/01/2020,Development,Training,USA,105
12/01/2020,Development,Travel,Spain,137
12/01/2020,Development,Travel,United Kingdom,"2,199"
12/01/2020,Development,Travel,USA,"1,836"
12/01/2020,Development,Vehicles,Belgium,392
12/01/2020,Distribution,Amortization,Italy,"2,785"
12/01/2020,Distribution,Depreciation,Belgium,16
12/01/2020,Distribution,Depreciation,Italy,202
12/01/2020,Distribution,Depreciation,Poland,14
12/01/2020,Distribution,Depreciation,Switzerland,448
12/01/2020,Distribution,Depreciation,United Kingdom,26
12/01/2020,Distribution,Employee Performance,USA,103
12/01/2020,Distribution,External Labor,Canada,105
12/01/2020,Distribution,External Labor,France,"12,588"
12/01/2020,Distribution,External Labor,United Kingdom,"4,303"
12/01/2020,Distribution,External Labor,USA,"54,580"
12/01/2020,Distribution,Hardware,Canada,54
12/01/2020,Distribution,Inbound Allocations,Czech Republic,"2,818"
12/01/2020,Distribution,Inbound Allocations,Poland,"1,893"
12/01/2020,Distribution,Internal Labor,Belgium,"27,318"
12/01/2020,Distribution,Internal Labor,Canada,"6,169"
12/01/2020,Distribution,Internal Labor,Czech Republic,"-8,754"
12/01/2020,Distribution,Internal Labor,France,"3,419"
12/01/2020,Distribution,Internal Labor,Germany,"32,721"
12/01/2020,Distribution,Internal Labor,Italy,"16,368"
12/01/2020,Distribution,Internal Labor,Portugal,"3,101"
12/01/2020,Distribution,Internal Labor,Spain,"5,247"
12/01/2020,Distribution,Internal Labor,Switzerland,"9,310"
12/01/2020,Distribution,Internal Labor,United Kingdom,"28,085"
12/01/2020,Distribution,Internal Labor,USA,"87,099"
12/01/2020,Distribution,Moving,Spain,23
12/01/2020,Distribution,Moving,USA,317
12/01/2020,Distribution,Other,Belgium,167
12/01/2020,Distribution,Other,Canada,12
12/01/2020,Distribution,Other,Czech Republic,20
12/01/2020,Distribution,Other,France,8
12/01/2020,Distribution,Other,Germany,50
12/01/2020,Distribution,Other,Italy,24
12/01/2020,Distribution,Other,Portugal,127
12/01/2020,Distribution,Other,Spain,82
12/01/2020,Distribution,Other,United Kingdom,5
12/01/2020,Distribution,Other,USA,42
12/01/2020,Distribution,Outbound Allocations,United Kingdom,695
12/01/2020,Distribution,Severance,Italy,"1,467"
12/01/2020,Distribution,Software,USA,17
12/01/2020,Distribution,Software Maintenance,United Kingdom,"53,999"
12/01/2020,Distribution,Software Maintenance,USA,12
12/01/2020,Distribution,Supplies,Belgium,-10
12/01/2020,Distribution,Supplies,Germany,10
12/01/2020,Distribution,Supplies,Portugal,112
12/01/2020,Distribution,Supplies,United Kingdom,231
12/01/2020,Distribution,Supplies,USA,32
12/01/2020,Distribution,Telecomm,Belgium,56
12/01/2020,Distribution,Telecomm,Canada,108
12/01/2020,Distribution,Telecomm,Czech Republic,54
12/01/2020,Distribution,Telecomm,Italy,-18
12/01/2020,Distribution,Telecomm,Poland,122
12/01/2020,Distribution,Telecomm,Portugal,59
12/01/2020,Distribution,Telecomm,Switzerland,598
12/01/2020,Distribution,Telecomm,United Kingdom,282
12/01/2020,Distribution,Telecomm,USA,496
12/01/2020,Distribution,Training,Belgium,"12,800"
12/01/2020,Distribution,Training,Germany,165
12/01/2020,Distribution,Training,USA,2
12/01/2020,Distribution,Travel,Belgium,"2,354"
12/01/2020,Distribution,Travel,Canada,"1,529"
12/01/2020,Distribution,Travel,France,8
12/01/2020,Distribution,Travel,Germany,862
12/01/2020,Distribution,Travel,Italy,"1,393"
12/01/2020,Distribution,Travel,Poland,586
12/01/2020,Distribution,Travel,Portugal,841
12/01/2020,Distribution,Travel,Spain,447
12/01/2020,Distribution,Travel,United Kingdom,"4,425"
12/01/2020,Distribution,Travel,USA,862
12/01/2020,Distribution,Vehicles,Belgium,293
12/01/2020,Distribution,Vehicles,Italy,19
12/01/2020,Distribution,Vehicles,Portugal,672
12/01/2020,Distribution,Vehicles,United Kingdom,319
12/01/2020,Document Management,Depreciation,USA,261
12/01/2020,Document Management,Employee Performance,USA,436
12/01/2020,Document Management,External Labor,USA,"135,701"
12/01/2020,Document Management,Hardware,USA,9
12/01/2020,Document Management,Internal Labor,USA,"90,523"
12/01/2020,Document Management,Other,USA,167
12/01/2020,Document Management,Recognition,USA,97
12/01/2020,Document Management,Software,USA,383
12/01/2020,Document Management,Software Maintenance,USA,"63,742"
12/01/2020,Document Management,Supplies,USA,45
12/01/2020,Document Management,Taxes,USA,154
12/01/2020,Document Management,Telecomm,USA,545
12/01/2020,Document Management,Travel,USA,837
12/01/2020,EIM,Amortization,Italy,158
12/01/2020,EIM,CAPEX,USA,"49,132"
12/01/2020,EIM,Depreciation,Italy,"1,426"
12/01/2020,EIM,Employee Performance,USA,"1,564"
12/01/2020,EIM,External Labor,Italy,"-1,512"
12/01/2020,EIM,External Labor,USA,"109,568"
12/01/2020,EIM,Hardware,USA,14
12/01/2020,EIM,Internal Labor,Italy,"4,778"
12/01/2020,EIM,Internal Labor,USA,"106,049"
12/01/2020,EIM,Other,USA,29
12/01/2020,EIM,Severance,Italy,411
12/01/2020,EIM,Software,USA,"100,167"
12/01/2020,EIM,Software Maintenance,USA,"38,793"
12/01/2020,EIM,Supplies,USA,276
12/01/2020,EIM,Telecomm,Italy,80
12/01/2020,EIM,Telecomm,USA,533
12/01/2020,EIM,Training,USA,"1,305"
12/01/2020,EIM,Travel,Italy,409
12/01/2020,EIM,Travel,USA,"3,088"
12/01/2020,EIM,Vehicles,Italy,92
12/01/2020,Emerging,Depreciation,Brazil,"4,272"
12/01/2020,Emerging,Depreciation,Mexico,394
12/01/2020,Emerging,Depreciation,Turkey,"2,614"
12/01/2020,Emerging,Depreciation,USA,63
12/01/2020,Emerging,External Labor,Brazil,"3,822"
12/01/2020,Emerging,External Labor,Mexico,"15,612"
12/01/2020,Emerging,External Labor,Turkey,673
12/01/2020,Emerging,External Labor,USA,"100,669"
12/01/2020,Emerging,Hardware,Turkey,118
12/01/2020,Emerging,Hardware,USA,8
12/01/2020,Emerging,Hardware Maintenance,Brazil,708
12/01/2020,Emerging,Hardware Maintenance,Mexico,"7,749"
12/01/2020,Emerging,Hardware Maintenance,Turkey,16
12/01/2020,Emerging,Internal Labor,Mexico,"12,977"
12/01/2020,Emerging,Internal Labor,USA,"8,611"
12/01/2020,Emerging,Other,Brazil,"2,917"
12/01/2020,Emerging,Other,Mexico,731
12/01/2020,Emerging,Other,Switzerland,"5,872"
12/01/2020,Emerging,Other,Turkey,"7,440"
12/01/2020,Emerging,Other,USA,"88,945"
12/01/2020,Emerging,Recognition,Mexico,11
12/01/2020,Emerging,Severance,Mexico,"13,470"
12/01/2020,Emerging,Software,Turkey,71
12/01/2020,Emerging,Supplies,Brazil,325
12/01/2020,Emerging,Supplies,Mexico,22
12/01/2020,Emerging,Supplies,Turkey,678
12/01/2020,Emerging,Supplies,USA,7
12/01/2020,Emerging,Taxes,Mexico,36
12/01/2020,Emerging,Telecomm,Brazil,967
12/01/2020,Emerging,Telecomm,Mexico,83
12/01/2020,Emerging,Telecomm,Turkey,74
12/01/2020,Emerging,Telecomm,USA,171
12/01/2020,Emerging,Training,Mexico,14
12/01/2020,Emerging,Training,Turkey,472
12/01/2020,Emerging,Travel,Brazil,60
12/01/2020,Emerging,Travel,Mexico,268
12/01/2020,Emerging,Travel,Turkey,-615
12/01/2020,Emerging,Travel,USA,"3,094"
12/01/2020,Emerging,Vehicles,Mexico,46
12/01/2020,Enterprise Capabilities,Depreciation,United Kingdom,287
12/01/2020,Enterprise Capabilities,Internal Labor,Spain,"-19,651"
12/01/2020,Enterprise Capabilities,Internal Labor,United Kingdom,"10,429"
12/01/2020,Enterprise Capabilities,Other,United Kingdom,33
12/01/2020,Enterprise Capabilities,Telecomm,United Kingdom,87
12/01/2020,Enterprise Capabilities,Travel,United Kingdom,121
12/01/2020,GRC,Depreciation,United Kingdom,160
12/01/2020,GRC,Employee Performance,USA,"1,526"
12/01/2020,GRC,External Labor,Germany,"13,505"
12/01/2020,GRC,External Labor,Spain,"9,009"
12/01/2020,GRC,External Labor,United Kingdom,"3,505"
12/01/2020,GRC,External Labor,USA,"-331,515"
12/01/2020,GRC,Internal Labor,France,"-12,966"
12/01/2020,GRC,Internal Labor,Germany,"50,941"
12/01/2020,GRC,Internal Labor,Italy,"12,300"
12/01/2020,GRC,Internal Labor,New Zealand,"8,742"
12/01/2020,GRC,Internal Labor,United Kingdom,"24,692"
12/01/2020,GRC,Internal Labor,USA,770
12/01/2020,GRC,Other,Germany,11
12/01/2020,GRC,Other,Italy,10
12/01/2020,GRC,Other,United Kingdom,"3,943"
12/01/2020,GRC,Other,USA,139
12/01/2020,GRC,Outbound Allocations,United Kingdom,695
12/01/2020,GRC,Severance,Italy,"1,131"
12/01/2020,GRC,Severance,New Zealand,118
12/01/2020,GRC,Software Maintenance,United Kingdom,"3,512"
12/01/2020,GRC,Software Maintenance,USA,"12,500"
12/01/2020,GRC,Supplies,United Kingdom,17
12/01/2020,GRC,Supplies,USA,160
12/01/2020,GRC,Taxes,USA,104
12/01/2020,GRC,Telecomm,Italy,-12
12/01/2020,GRC,Telecomm,New Zealand,48
12/01/2020,GRC,Telecomm,United Kingdom,237
12/01/2020,GRC,Telecomm,USA,138
12/01/2020,GRC,Training,USA,525
12/01/2020,GRC,Travel,Germany,"4,015"
12/01/2020,GRC,Travel,Italy,113
12/01/2020,GRC,Travel,New Zealand,"4,048"
12/01/2020,GRC,Travel,United Kingdom,"3,074"
12/01/2020,GRC,Travel,USA,"2,932"
12/01/2020,GRC,Vehicles,Germany,418
12/01/2020,GRC,Vehicles,United Kingdom,-54
12/01/2020,Help Desk,External Labor,United Kingdom,"21,724"
12/01/2020,Help Desk,External Labor,USA,"577,910"
12/01/2020,Help Desk,Hardware Maintenance,USA,27
12/01/2020,Help Desk,Internal Labor,Spain,"-6,926"
12/01/2020,Help Desk,Other,USA,18
12/01/2020,Help Desk,Software,USA,"1,658"
12/01/2020,Help Desk,Software Maintenance,United Kingdom,"39,197"
12/01/2020,Help Desk,Software Maintenance,USA,8
12/01/2020,Help Desk,Taxes,USA,230
12/01/2020,Help Desk,Telecomm,USA,370
12/01/2020,Hosting,Amortization,USA,"3,507"
12/01/2020,Hosting,Depreciation,USA,"29,914"
12/01/2020,Hosting,Employee Performance,USA,"1,996"
12/01/2020,Hosting,External Labor,USA,"301,392"
12/01/2020,Hosting,Internal Labor,United Kingdom,"7,608"
12/01/2020,Hosting,Internal Labor,USA,"84,365"
12/01/2020,Hosting,Moving,USA,"2,464"
12/01/2020,Hosting,Other,USA,296
12/01/2020,Hosting,Software,USA,"-17,155"
12/01/2020,Hosting,Software Maintenance,USA,"359,065"
12/01/2020,Hosting,Supplies,United Kingdom,51
12/01/2020,Hosting,Taxes,USA,"3,253"
12/01/2020,Hosting,Telecomm,United Kingdom,49
12/01/2020,Hosting,Telecomm,USA,424
12/01/2020,Hosting,Travel,United Kingdom,640
12/01/2020,Innovation,Depreciation,Austria,2
12/01/2020,Innovation,External Labor,USA,"298,733"
12/01/2020,Innovation,Hardware,USA,5
12/01/2020,Innovation,Hardware Maintenance,Austria,-2
12/01/2020,Innovation,Internal Labor,Austria,"39,989"
12/01/2020,Innovation,Internal Labor,USA,"18,963"
12/01/2020,Innovation,Moving,USA,"1,585"
12/01/2020,Innovation,Other,Austria,21
12/01/2020,Innovation,Other,USA,"73,576"
12/01/2020,Innovation,Recognition,Austria,"7,105"
12/01/2020,Innovation,Severance,Austria,88
12/01/2020,Innovation,Software,USA,11
12/01/2020,Innovation,Software Maintenance,USA,8
12/01/2020,Innovation,Telecomm,Austria,165
12/01/2020,Innovation,Telecomm,USA,218
12/01/2020,Innovation,Travel,Austria,"2,596"
12/01/2020,Innovation,Travel,USA,590
12/01/2020,Manufacturing,Amortization,Brazil,8
12/01/2020,Manufacturing,Amortization,France,"11,763"
12/01/2020,Manufacturing,Amortization,Germany,"1,436"
12/01/2020,Manufacturing,Amortization,Ireland,"1,765"
12/01/2020,Manufacturing,Amortization,Italy,"7,178"
12/01/2020,Manufacturing,Amortization,Puerto Rico,"26,694"
12/01/2020,Manufacturing,Amortization,USA,"1,149,017"
12/01/2020,Manufacturing,Depreciation,Brazil,"3,053"
12/01/2020,Manufacturing,Depreciation,France,"14,793"
12/01/2020,Manufacturing,Depreciation,Germany,125
12/01/2020,Manufacturing,Depreciation,Ireland,"6,340"
12/01/2020,Manufacturing,Depreciation,Italy,"13,732"
12/01/2020,Manufacturing,Depreciation,Mexico,798
12/01/2020,Manufacturing,Depreciation,Puerto Rico,"55,824"
12/01/2020,Manufacturing,Depreciation,Spain,"4,097"
12/01/2020,Manufacturing,Depreciation,United Kingdom,"1,035"
12/01/2020,Manufacturing,Depreciation,USA,"24,624"
12/01/2020,Manufacturing,Employee Performance,USA,"3,394"
12/01/2020,Manufacturing,External Labor,Brazil,"-1,871"
12/01/2020,Manufacturing,External Labor,France,"193,959"
12/01/2020,Manufacturing,External Labor,Ireland,"26,626"
12/01/2020,Manufacturing,External Labor,Italy,702
12/01/2020,Manufacturing,External Labor,Mexico,"1,479"
12/01/2020,Manufacturing,External Labor,Puerto Rico,"78,633"
12/01/2020,Manufacturing,External Labor,Spain,"5,262"
12/01/2020,Manufacturing,External Labor,USA,"384,348"
12/01/2020,Manufacturing,Hardware,France,"-15,866"
12/01/2020,Manufacturing,Hardware,Puerto Rico,"-33,840"
12/01/2020,Manufacturing,Hardware,Spain,84
12/01/2020,Manufacturing,Hardware,USA,"1,058"
12/01/2020,Manufacturing,Hardware Maintenance,Brazil,564
12/01/2020,Manufacturing,Hardware Maintenance,France,631
12/01/2020,Manufacturing,Hardware Maintenance,Germany,"-2,218"
12/01/2020,Manufacturing,Hardware Maintenance,Italy,"10,744"
12/01/2020,Manufacturing,Hardware Maintenance,Mexico,346
12/01/2020,Manufacturing,Hardware Maintenance,Puerto Rico,"-4,595"
12/01/2020,Manufacturing,Internal Labor,France,"120,449"
12/01/2020,Manufacturing,Internal Labor,Germany,"26,357"
12/01/2020,Manufacturing,Internal Labor,Ireland,"104,573"
12/01/2020,Manufacturing,Internal Labor,Italy,"29,812"
12/01/2020,Manufacturing,Internal Labor,Puerto Rico,"91,356"
12/01/2020,Manufacturing,Internal Labor,Spain,"25,429"
12/01/2020,Manufacturing,Internal Labor,United Kingdom,"9,309"
12/01/2020,Manufacturing,Internal Labor,USA,"470,727"
12/01/2020,Manufacturing,Other,France,"-51,653"
12/01/2020,Manufacturing,Other,Italy,384
12/01/2020,Manufacturing,Other,Puerto Rico,60
12/01/2020,Manufacturing,Other,Spain,"-7,233"
12/01/2020,Manufacturing,Other,USA,"4,337"
12/01/2020,Manufacturing,Project Expenses,France,"5,619"
12/01/2020,Manufacturing,Project Expenses,Puerto Rico,"12,077"
12/01/2020,Manufacturing,Project Expenses,USA,"43,932"
12/01/2020,Manufacturing,Recognition,USA,174
12/01/2020,Manufacturing,Severance,Italy,"2,376"
12/01/2020,Manufacturing,Software,France,987
12/01/2020,Manufacturing,Software,Ireland,"10,961"
12/01/2020,Manufacturing,Software,USA,"70,274"
12/01/2020,Manufacturing,Software Maintenance,France,"29,624"
12/01/2020,Manufacturing,Software Maintenance,USA,"189,023"
12/01/2020,Manufacturing,Supplies,Brazil,33
12/01/2020,Manufacturing,Supplies,Ireland,"1,378"
12/01/2020,Manufacturing,Supplies,Puerto Rico,"1,984"
12/01/2020,Manufacturing,Supplies,USA,"1,890"
12/01/2020,Manufacturing,Taxes,USA,"2,226"
12/01/2020,Manufacturing,Telecomm,Brazil,54
12/01/2020,Manufacturing,Telecomm,France,"42,690"
12/01/2020,Manufacturing,Telecomm,Ireland,"8,105"
12/01/2020,Manufacturing,Telecomm,Italy,"-5,209"
12/01/2020,Manufacturing,Telecomm,Puerto Rico,"-14,350"
12/01/2020,Manufacturing,Telecomm,United Kingdom,22
12/01/2020,Manufacturing,Telecomm,USA,"8,799"
12/01/2020,Manufacturing,Training,France,365
12/01/2020,Manufacturing,Training,Italy,180
12/01/2020,Manufacturing,Training,Spain,489
12/01/2020,Manufacturing,Training,USA,"5,848"
12/01/2020,Manufacturing,Travel,France,104
12/01/2020,Manufacturing,Travel,Ireland,595
12/01/2020,Manufacturing,Travel,Italy,"2,941"
12/01/2020,Manufacturing,Travel,Puerto Rico,"3,386"
12/01/2020,Manufacturing,Travel,United Kingdom,"3,332"
12/01/2020,Manufacturing,Travel,USA,"14,226"
12/01/2020,Manufacturing,Vehicles,France,220
12/01/2020,Manufacturing,Vehicles,Italy,198
12/01/2020,Manufacturing,Vehicles,Spain,258
12/01/2020,Mobility,Depreciation,United Kingdom,"18,506"
12/01/2020,Mobility,Depreciation,USA,873
12/01/2020,Mobility,External Labor,United Kingdom,736
12/01/2020,Mobility,External Labor,USA,"193,375"
12/01/2020,Mobility,Internal Labor,United Kingdom,921
12/01/2020,Mobility,Outbound Allocations,United Kingdom,"1,390"
12/01/2020,Mobility,Software,USA,"5,037"
12/01/2020,Mobility,Software Maintenance,USA,"21,422"
12/01/2020,Mobility,Taxes,USA,840
12/01/2020,Mobility,Telecomm,USA,979
12/01/2020,Mobility,Training,USA,105
12/01/2020,Mobility,Vehicles,United Kingdom,-177
12/01/2020,Networking,Depreciation,Mexico,4
12/01/2020,Networking,Depreciation,Switzerland,523
12/01/2020,Networking,Depreciation,United Kingdom,"3,436"
12/01/2020,Networking,Depreciation,USA,"43,106"
12/01/2020,Networking,Employee Performance,USA,222
12/01/2020,Networking,External Labor,Ireland,"73,812"
12/01/2020,Networking,External Labor,Mexico,"2,583"
12/01/2020,Networking,External Labor,Switzerland,"2,250"
