Date,IT Department,Cost Element,Country,Actual
12/01/2020,Administration,Employee Performance,USA,"1,032"
12/01/2020,Administration,External Labor,USA,"-59,275"
12/01/2020,Administration,Hardware,USA,"1,234"
12/01/2020,Administration,Internal Labor,Germany,"1,916"
12/01/2020,Administration,Internal Labor,Italy,866
12/01/2020,Administration,Internal Labor,United Kingdom,"22,220"
12/01/2020,Administration,Internal Labor,USA,"90,118"
12/01/2020,Administration,Legal,USA,236
12/01/2020,Administration,Moving,USA,"4,179"
12/01/2020,Administration,Other,USA,"35,147"
12/01/2020,Administration,Outbound Allocations,United Kingdom,695
12/01/2020,Administration,Severance,Italy,77
12/01/2020,Administration,Software,USA,6
12/01/2020,Administration,Software Maintenance,USA,4
12/01/2020,Administration,Supplies,United Kingdom,31
12/01/2020,Administration,Supplies,USA,110
12/01/2020,Administration,Telecomm,Italy,-6
12/01/2020,Administration,Telecomm,USA,426
12/01/2020,Administration,Travel,USA,"3,753"
12/01/2020,Architecture,Depreciation,USA,693
12/01/2020,Architecture,Employee Performance,USA,342
12/01/2020,Architecture,External Labor,USA,"1,836"
12/01/2020,Architecture,Hardware,USA,5
12/01/2020,Architecture,Internal Labor,USA,"39,859"
12/01/2020,Architecture,Other,USA,"-1,627"
12/01/2020,Architecture,Software,USA,11
12/01/2020,Architecture,Software Maintenance,USA,8
12/01/2020,Architecture,Supplies,USA,"1,684"
12/01/2020,Architecture,Taxes,USA,44
12/01/2020,Architecture,Telecomm,USA,345
12/01/2020,Architecture,Travel,USA,49
12/01/2020,Business Intelligence,Employee Performance,USA,289
12/01/2020,Business Intelligence,External Labor,USA,"23,868"
12/01/2020,Business Intelligence,Hardware,USA,5
12/01/2020,Business Intelligence,Internal Labor,USA,"53,072"
12/01/2020,Business Intelligence,Other,USA,5
12/01/2020,Business Intelligence,Software,USA,"40,135"
12/01/2020,Business Intelligence,Software Maintenance,USA,57
12/01/2020,Business Intelligence,Supplies,USA,91
12/01/2020,Business Intelligence,Telecomm,USA,369
12/01/2020,Business Intelligence,Travel,USA,"1,860"
12/01/2020,Core,Employee Performance,USA,587
12/01/2020,Core,External Labor,USA,"21,601"
12/01/2020,Core,Internal Labor,USA,"26,874"
12/01/2020,Core,Supplies,USA,7
12/01/2020,Core,Telecomm,USA,452
12/01/2020,Core,Travel,USA,"1,200"
12/01/2020,Core Infrastructure,Amortization,Mexico,"1,447"
12/01/2020,Core Infrastructure,CAPEX,New Zealand,"3,960"
12/01/2020,Core Infrastructure,Depreciation,Brazil,"10,607"
12/01/2020,Core Infrastructure,Depreciation,Canada,"4,133"
12/01/2020,Core Infrastructure,Depreciation,Mexico,"8,474"
12/01/2020,Core Infrastructure,Depreciation,New Zealand,"7,206"
12/01/2020,Core Infrastructure,Depreciation,Russia,14
12/01/2020,Core Infrastructure,Depreciation,Switzerland,569
12/01/2020,Core Infrastructure,Depreciation,USA,"1,731"
12/01/2020,Core Infrastructure,Employee Performance,USA,757
12/01/2020,Core Infrastructure,External Labor,Brazil,"23,526"
12/01/2020,Core Infrastructure,External Labor,Canada,"20,455"
12/01/2020,Core Infrastructure,External Labor,Mexico,"2,929"
12/01/2020,Core Infrastructure,External Labor,New Zealand,"28,499"
12/01/2020,Core Infrastructure,External Labor,Switzerland,"12,636"
12/01/2020,Core Infrastructure,External Labor,USA,"1,876,415"
12/01/2020,Core Infrastructure,Hardware,Brazil,"1,191"
