Date,IT Department,Cost Element,Country,Actual
1-Feb-20,EIM,Severance,Italy,88
1-Feb-20,EIM,Software,USA,"13,941"
1-Feb-20,EIM,Software Maintenance,USA,"22,294"
1-Feb-20,EIM,Telecomm,Belgium,40
1-Feb-20,EIM,Telecomm,Italy,735
1-Feb-20,EIM,Telecomm,USA,"1,101"
1-Feb-20,EIM,Travel,Belgium,88
1-Feb-20,EIM,Vehicles,Belgium,330
1-Feb-20,Emerging,Depreciation,Brazil,"2,960"
1-Feb-20,Emerging,Depreciation,Mexico,457
1-Feb-20,Emerging,Depreciation,USA,63
1-Feb-20,Emerging,External Labor,Brazil,"6,965"
1-Feb-20,Emerging,External Labor,Mexico,"1,645"
1-Feb-20,Emerging,External Labor,USA,"50,238"
1-Feb-20,Emerging,Hardware Maintenance,Brazil,"3,282"
1-Feb-20,Emerging,Internal Labor,Brazil,"6,898"
1-Feb-20,Emerging,Internal Labor,Mexico,"17,613"
1-Feb-20,Emerging,Internal Labor,USA,"9,086"
1-Feb-20,Emerging,Moving,Brazil,293
1-Feb-20,Emerging,Other,Brazil,"2,023"
1-Feb-20,Emerging,Other,Mexico,555
1-Feb-20,Emerging,Other,USA,5
1-Feb-20,Emerging,Severance,Brazil,384
1-Feb-20,Emerging,Severance,Mexico,"3,736"
1-Feb-20,Emerging,Software Maintenance,Brazil,856
1-Feb-20,Emerging,Telecomm,Brazil,"-3,394"
1-Feb-20,Emerging,Telecomm,Switzerland,1
1-Feb-20,Emerging,Telecomm,USA,813
1-Feb-20,Emerging,Training,Brazil,66
1-Feb-20,Emerging,Training,Mexico,486
1-Feb-20,Emerging,Travel,Brazil,-42
1-Feb-20,Emerging,Travel,Mexico,5
1-Feb-20,Emerging,Travel,USA,917
1-Feb-20,Emerging,Vehicles,Mexico,161
1-Feb-20,Enterprise Capabilities,Depreciation,United Kingdom,20
1-Feb-20,Enterprise Capabilities,Internal Labor,Spain,"6,073"
1-Feb-20,Enterprise Capabilities,Internal Labor,United Kingdom,"8,500"
1-Feb-20,Enterprise Capabilities,Other,United Kingdom,87
1-Feb-20,Enterprise Capabilities,Telecomm,United Kingdom,131
1-Feb-20,Enterprise Capabilities,Training,United Kingdom,147
1-Feb-20,Enterprise Capabilities,Travel,Spain,215
1-Feb-20,Enterprise Capabilities,Travel,United Kingdom,368
1-Feb-20,Enterprise Capabilities,Vehicles,United Kingdom,1
1-Feb-20,GRC,Depreciation,Spain,143
1-Feb-20,GRC,Depreciation,United Kingdom,163
1-Feb-20,GRC,External Labor,Germany,"18,351"
1-Feb-20,GRC,External Labor,United Kingdom,"3,068"
1-Feb-20,GRC,Internal Labor,France,"9,230"
1-Feb-20,GRC,Internal Labor,Germany,"97,769"
1-Feb-20,GRC,Internal Labor,Italy,"19,712"
1-Feb-20,GRC,Internal Labor,New Zealand,"17,129"
1-Feb-20,GRC,Internal Labor,United Kingdom,"32,470"
1-Feb-20,GRC,Internal Labor,USA,"23,201"
1-Feb-20,GRC,Other,Germany,57
1-Feb-20,GRC,Other,New Zealand,298
1-Feb-20,GRC,Other,United Kingdom,188
1-Feb-20,GRC,Other,USA,45
1-Feb-20,GRC,Outbound Allocations,United Kingdom,708
1-Feb-20,GRC,Project Expenses,United Kingdom,"30,298"
1-Feb-20,GRC,Severance,Italy,651
1-Feb-20,GRC,Severance,New Zealand,201
1-Feb-20,GRC,Supplies,USA,65
1-Feb-20,GRC,Taxes,USA,93
1-Feb-20,GRC,Telecomm,Italy,3
1-Feb-20,GRC,Telecomm,New Zealand,-20
1-Feb-20,GRC,Telecomm,United Kingdom,161
1-Feb-20,GRC,Training,Germany,347
1-Feb-20,GRC,Training,USA,38
1-Feb-20,GRC,Travel,Germany,"3,302"
1-Feb-20,GRC,Travel,Italy,308
1-Feb-20,GRC,Travel,New Zealand,-382
1-Feb-20,GRC,Travel,United Kingdom,"1,627"
1-Feb-20,GRC,Vehicles,United Kingdom,17
1-Feb-20,Help Desk,Employee Performance,USA,1
1-Feb-20,Help Desk,External Labor,Ireland,"33,285"
1-Feb-20,Help Desk,External Labor,United Kingdom,"37,409"
1-Feb-20,Help Desk,External Labor,USA,"284,788"
1-Feb-20,Help Desk,Hardware,USA,"1,946"
1-Feb-20,Help Desk,Hardware Maintenance,USA,27
1-Feb-20,Help Desk,Internal Labor,USA,"10,441"
1-Feb-20,Help Desk,Other,USA,14
1-Feb-20,Help Desk,Software,USA,29
1-Feb-20,Help Desk,Software Maintenance,USA,"4,811"
1-Feb-20,Help Desk,Taxes,USA,205
1-Feb-20,Help Desk,Telecomm,USA,"5,228"
1-Feb-20,Help Desk,Training,Spain,9
1-Feb-20,Help Desk,Training,USA,560
1-Feb-20,Hosting,Amortization,USA,540
1-Feb-20,Hosting,Depreciation,USA,"45,273"
1-Feb-20,Hosting,Employee Performance,USA,17
1-Feb-20,Hosting,External Labor,United Kingdom,"1,397"
1-Feb-20,Hosting,External Labor,USA,"327,567"
1-Feb-20,Hosting,Hardware,USA,207
1-Feb-20,Hosting,Internal Labor,United Kingdom,"7,831"
1-Feb-20,Hosting,Internal Labor,USA,"85,558"
1-Feb-20,Hosting,Other,USA,118
1-Feb-20,Hosting,Software,USA,"6,674"
1-Feb-20,Hosting,Software Maintenance,USA,"328,604"
1-Feb-20,Hosting,Taxes,USA,"2,895"
1-Feb-20,Hosting,Telecomm,United Kingdom,2
1-Feb-20,Hosting,Telecomm,USA,"3,832"
1-Feb-20,Hosting,Training,USA,"1,340"
1-Feb-20,Hosting,Travel,United Kingdom,30
1-Feb-20,Hosting,Travel,USA,251
1-Feb-20,Hosting,Vehicles,United Kingdom,"2,236"
1-Feb-20,Innovation,Depreciation,Austria,2
1-Feb-20,Innovation,External Labor,USA,3
1-Feb-20,Innovation,Internal Labor,USA,"20,924"
1-Feb-20,Innovation,Moving,USA,467
1-Feb-20,Innovation,Telecomm,USA,41
1-Feb-20,Innovation,Travel,USA,"2,514"
1-Feb-20,Licensing,Internal Labor,USA,86
1-Feb-20,Licensing,Telecomm,USA,303
1-Feb-20,Manufacturing,Amortization,Brazil,8
1-Feb-20,Manufacturing,Amortization,France,"9,349"
1-Feb-20,Manufacturing,Amortization,Germany,"1,142"
1-Feb-20,Manufacturing,Amortization,Ireland,"1,813"
1-Feb-20,Manufacturing,Amortization,Italy,"18,258"
1-Feb-20,Manufacturing,Amortization,Puerto Rico,"34,157"
1-Feb-20,Manufacturing,Amortization,Spain,198
1-Feb-20,Manufacturing,Amortization,USA,"952,950"
1-Feb-20,Manufacturing,Depreciation,Brazil,"1,802"
1-Feb-20,Manufacturing,Depreciation,France,"17,065"
1-Feb-20,Manufacturing,Depreciation,Germany,259
1-Feb-20,Manufacturing,Depreciation,Ireland,"5,774"
1-Feb-20,Manufacturing,Depreciation,Italy,"14,766"
1-Feb-20,Manufacturing,Depreciation,Puerto Rico,"53,678"
1-Feb-20,Manufacturing,Depreciation,Spain,"1,232"
1-Feb-20,Manufacturing,Depreciation,United Kingdom,"1,055"
1-Feb-20,Manufacturing,Depreciation,USA,"29,125"
1-Feb-20,Manufacturing,Employee Performance,USA,"1,976"
1-Feb-20,Manufacturing,External Labor,Brazil,"3,667"
1-Feb-20,Manufacturing,External Labor,France,"138,040"
1-Feb-20,Manufacturing,External Labor,Germany,"4,045"
1-Feb-20,Manufacturing,External Labor,Ireland,"5,009"
1-Feb-20,Manufacturing,External Labor,Italy,"17,904"
1-Feb-20,Manufacturing,External Labor,Mexico,"4,090"
1-Feb-20,Manufacturing,External Labor,Puerto Rico,"55,027"
1-Feb-20,Manufacturing,External Labor,United Kingdom,"2,128"
1-Feb-20,Manufacturing,External Labor,USA,"107,753"
1-Feb-20,Manufacturing,Hardware,France,78
1-Feb-20,Manufacturing,Hardware,Germany,215
1-Feb-20,Manufacturing,Hardware,Puerto Rico,"13,395"
1-Feb-20,Manufacturing,Hardware,Spain,"1,112"
1-Feb-20,Manufacturing,Hardware,USA,"7,720"
1-Feb-20,Manufacturing,Hardware Maintenance,Brazil,645
1-Feb-20,Manufacturing,Hardware Maintenance,France,"1,262"
1-Feb-20,Manufacturing,Hardware Maintenance,Germany,"1,220"
1-Feb-20,Manufacturing,Hardware Maintenance,Ireland,"5,322"
1-Feb-20,Manufacturing,Hardware Maintenance,Puerto Rico,"10,954"
1-Feb-20,Manufacturing,Hardware Maintenance,Spain,126
1-Feb-20,Manufacturing,Hardware Maintenance,USA,619
1-Feb-20,Manufacturing,Internal Labor,Brazil,"3,374"
1-Feb-20,Manufacturing,Internal Labor,France,"137,876"
1-Feb-20,Manufacturing,Internal Labor,Germany,"18,551"
1-Feb-20,Manufacturing,Internal Labor,Ireland,"12,938"
1-Feb-20,Manufacturing,Internal Labor,Italy,"21,719"
1-Feb-20,Manufacturing,Internal Labor,Puerto Rico,"84,075"
1-Feb-20,Manufacturing,Internal Labor,Spain,"24,058"
1-Feb-20,Manufacturing,Internal Labor,United Kingdom,"7,647"
1-Feb-20,Manufacturing,Internal Labor,USA,"704,411"
1-Feb-20,Manufacturing,Moving,USA,584
1-Feb-20,Manufacturing,Other,Brazil,42
1-Feb-20,Manufacturing,Other,France,196
1-Feb-20,Manufacturing,Other,Germany,91
1-Feb-20,Manufacturing,Other,Italy,163
1-Feb-20,Manufacturing,Other,Puerto Rico,78
1-Feb-20,Manufacturing,Other,Spain,256
1-Feb-20,Manufacturing,Other,USA,"1,061"
1-Feb-20,Manufacturing,Project Expenses,Puerto Rico,"-1,831"
1-Feb-20,Manufacturing,Project Expenses,USA,"12,442"
1-Feb-20,Manufacturing,Recognition,Spain,168
1-Feb-20,Manufacturing,Recognition,USA,11
1-Feb-20,Manufacturing,Severance,Brazil,194
1-Feb-20,Manufacturing,Severance,France,130
1-Feb-20,Manufacturing,Severance,Italy,628
1-Feb-20,Manufacturing,Software,Spain,679
1-Feb-20,Manufacturing,Software,USA,"32,465"
1-Feb-20,Manufacturing,Software Maintenance,France,"22,097"
1-Feb-20,Manufacturing,Software Maintenance,USA,"259,613"
1-Feb-20,Manufacturing,Supplies,Brazil,23
1-Feb-20,Manufacturing,Supplies,Ireland,"-1,181"
1-Feb-20,Manufacturing,Supplies,Puerto Rico,154
1-Feb-20,Manufacturing,Supplies,USA,818
1-Feb-20,Manufacturing,Taxes,USA,"1,991"
1-Feb-20,Manufacturing,Telecomm,Brazil,110
1-Feb-20,Manufacturing,Telecomm,France,"10,496"
1-Feb-20,Manufacturing,Telecomm,Ireland,362
1-Feb-20,Manufacturing,Telecomm,Italy,253
1-Feb-20,Manufacturing,Telecomm,Puerto Rico,"1,196"
1-Feb-20,Manufacturing,Telecomm,United Kingdom,85
1-Feb-20,Manufacturing,Telecomm,USA,"19,536"
1-Feb-20,Manufacturing,Training,France,"1,994"
1-Feb-20,Manufacturing,Training,Germany,653
1-Feb-20,Manufacturing,Training,Spain,41
1-Feb-20,Manufacturing,Training,USA,566
1-Feb-20,Manufacturing,Travel,Brazil,48
1-Feb-20,Manufacturing,Travel,France,"3,176"
1-Feb-20,Manufacturing,Travel,Germany,538
1-Feb-20,Manufacturing,Travel,Ireland,64
1-Feb-20,Manufacturing,Travel,Puerto Rico,"1,301"
1-Feb-20,Manufacturing,Travel,Spain,125
1-Feb-20,Manufacturing,Travel,United Kingdom,809
1-Feb-20,Manufacturing,Travel,USA,"4,080"
1-Feb-20,Manufacturing,Vehicles,France,226
1-Feb-20,Manufacturing,Vehicles,Spain,-9
1-Feb-20,Manufacturing,Vehicles,United Kingdom,1
1-Feb-20,Mobility,Depreciation,United Kingdom,"13,086"
1-Feb-20,Mobility,Depreciation,USA,"2,585"
1-Feb-20,Mobility,Employee Performance,USA,1
1-Feb-20,Mobility,External Labor,United Kingdom,"2,295"
1-Feb-20,Mobility,External Labor,USA,"45,382"
1-Feb-20,Mobility,Internal Labor,United Kingdom,"60,640"
1-Feb-20,Mobility,Moving,United Kingdom,-8
1-Feb-20,Mobility,Other,United Kingdom,"1,277"
1-Feb-20,Mobility,Outbound Allocations,United Kingdom,"1,417"
1-Feb-20,Mobility,Software,USA,"2,811"
1-Feb-20,Mobility,Software Maintenance,USA,"20,999"
1-Feb-20,Mobility,Taxes,USA,747
1-Feb-20,Mobility,Telecomm,United Kingdom,454
1-Feb-20,Mobility,Telecomm,USA,"2,306"
1-Feb-20,Mobility,Travel,United Kingdom,"4,618"
1-Feb-20,Mobility,Vehicles,United Kingdom,381
1-Feb-20,Networking,Depreciation,Canada,327
1-Feb-20,Networking,Depreciation,Mexico,5
1-Feb-20,Networking,Depreciation,Switzerland,556
1-Feb-20,Networking,Depreciation,United Kingdom,"4,741"
1-Feb-20,Networking,Depreciation,USA,"38,583"
1-Feb-20,Networking,External Labor,Ireland,"65,426"
1-Feb-20,Networking,External Labor,Mexico,"16,192"
1-Feb-20,Networking,External Labor,United Kingdom,"-3,038"
1-Feb-20,Networking,External Labor,USA,"232,490"
1-Feb-20,Networking,Hardware,Switzerland,"10,760"
1-Feb-20,Networking,Hardware,United Kingdom,"132,521"
1-Feb-20,Networking,Hardware,USA,"318,566"
1-Feb-20,Networking,Hardware Maintenance,Switzerland,"1,375"
1-Feb-20,Networking,Hardware Maintenance,USA,"7,667"
1-Feb-20,Networking,Internal Labor,Germany,-160
1-Feb-20,Networking,Internal Labor,Switzerland,"6,224"
1-Feb-20,Networking,Internal Labor,United Kingdom,"15,055"
1-Feb-20,Networking,Internal Labor,USA,"50,757"
1-Feb-20,Networking,Other,Germany,345
1-Feb-20,Networking,Other,Mexico,131
1-Feb-20,Networking,Other,United Kingdom,464
1-Feb-20,Networking,Other,USA,270
1-Feb-20,Networking,Project Expenses,United Kingdom,"-4,108"
1-Feb-20,Networking,Software Maintenance,USA,"49,176"
1-Feb-20,Networking,Supplies,United Kingdom,367
1-Feb-20,Networking,Supplies,USA,814
1-Feb-20,Networking,Taxes,USA,"5,689"
1-Feb-20,Networking,Telecomm,Canada,-90
1-Feb-20,Networking,Telecomm,Germany,1
1-Feb-20,Networking,Telecomm,Mexico,365
1-Feb-20,Networking,Telecomm,Switzerland,"1,686"
