Date,IT Department,Cost Element,Country,Actual
1-Feb-20,Administration,Employee Performance,USA,27
1-Feb-20,Administration,External Labor,United Kingdom,"3,535"
1-Feb-20,Administration,External Labor,USA,"1,205"
1-Feb-20,Administration,Hardware Maintenance,USA,"-5,345"
1-Feb-20,Administration,Internal Labor,Germany,"-146,561"
1-Feb-20,Administration,Internal Labor,Italy,"9,437"
1-Feb-20,Administration,Internal Labor,United Kingdom,"23,189"
1-Feb-20,Administration,Internal Labor,USA,"103,135"
1-Feb-20,Administration,Legal,USA,"22,458"
1-Feb-20,Administration,Moving,USA,744
1-Feb-20,Administration,Other,Germany,35
1-Feb-20,Administration,Other,United Kingdom,6
1-Feb-20,Administration,Other,USA,"-5,109"
1-Feb-20,Administration,Outbound Allocations,United Kingdom,708
1-Feb-20,Administration,Severance,Italy,312
1-Feb-20,Administration,Supplies,USA,30
1-Feb-20,Administration,Telecomm,Italy,2
1-Feb-20,Administration,Telecomm,United Kingdom,85
1-Feb-20,Administration,Telecomm,USA,"5,219"
1-Feb-20,Administration,Training,Germany,767
1-Feb-20,Administration,Travel,USA,"19,226"
1-Feb-20,Administration,Vehicles,United Kingdom,32
1-Feb-20,Architecture,Depreciation,USA,693
1-Feb-20,Architecture,Employee Performance,USA,218
1-Feb-20,Architecture,Internal Labor,USA,"43,028"
1-Feb-20,Architecture,Other,USA,"9,379"
1-Feb-20,Architecture,Supplies,USA,2
1-Feb-20,Architecture,Taxes,USA,39
1-Feb-20,Architecture,Telecomm,USA,263
1-Feb-20,Architecture,Travel,USA,109
1-Feb-20,Business Intelligence,Employee Performance,USA,22
1-Feb-20,Business Intelligence,External Labor,USA,"16,966"
1-Feb-20,Business Intelligence,Internal Labor,USA,"63,595"
1-Feb-20,Business Intelligence,Other,USA,454
1-Feb-20,Business Intelligence,Supplies,USA,18
1-Feb-20,Business Intelligence,Telecomm,USA,272
1-Feb-20,Business Intelligence,Training,USA,567
1-Feb-20,Business Intelligence,Travel,USA,2
1-Feb-20,Core,Employee Performance,USA,60
1-Feb-20,Core,External Labor,USA,"5,168"
1-Feb-20,Core,Internal Labor,USA,"21,254"
1-Feb-20,Core,Telecomm,United Kingdom,166
1-Feb-20,Core,Telecomm,USA,"1,017"
1-Feb-20,Core,Training,USA,326
1-Feb-20,Core,Travel,USA,479
1-Feb-20,Core Infrastructure,Amortization,Mexico,"1,009"
1-Feb-20,Core Infrastructure,Depreciation,Brazil,"12,901"
1-Feb-20,Core Infrastructure,Depreciation,Canada,"7,173"
1-Feb-20,Core Infrastructure,Depreciation,Mexico,"2,529"
1-Feb-20,Core Infrastructure,Depreciation,New Zealand,"5,847"
1-Feb-20,Core Infrastructure,External Labor,Brazil,"17,786"
1-Feb-20,Core Infrastructure,External Labor,Canada,"-7,711"
1-Feb-20,Core Infrastructure,External Labor,Mexico,"38,717"
1-Feb-20,Core Infrastructure,External Labor,New Zealand,"9,183"
1-Feb-20,Core Infrastructure,External Labor,USA,"62,930"
1-Feb-20,Core Infrastructure,Hardware,Brazil,"1,184"
1-Feb-20,Core Infrastructure,Hardware,Mexico,"32,132"
1-Feb-20,Core Infrastructure,Hardware,New Zealand,"36,766"
1-Feb-20,Core Infrastructure,Hardware Maintenance,Brazil,"9,126"
1-Feb-20,Core Infrastructure,Hardware Maintenance,Canada,"34,463"
1-Feb-20,Core Infrastructure,Hardware Maintenance,Mexico,680
1-Feb-20,Core Infrastructure,Internal Labor,Brazil,"15,591"
1-Feb-20,Core Infrastructure,Internal Labor,Mexico,"2,123"
1-Feb-20,Core Infrastructure,Internal Labor,New Zealand,"36,504"
1-Feb-20,Core Infrastructure,Internal Labor,Switzerland,"2,624"
1-Feb-20,Core Infrastructure,Internal Labor,USA,"58,261"
1-Feb-20,Core Infrastructure,Moving,USA,"8,720"
1-Feb-20,Core Infrastructure,Other,Brazil,"10,700"
1-Feb-20,Core Infrastructure,Other,Mexico,"5,115"
1-Feb-20,Core Infrastructure,Other,New Zealand,119
1-Feb-20,Core Infrastructure,Other,USA,330
1-Feb-20,Core Infrastructure,Recognition,New Zealand,145
1-Feb-20,Core Infrastructure,Severance,Brazil,846
1-Feb-20,Core Infrastructure,Severance,New Zealand,410
1-Feb-20,Core Infrastructure,Software,New Zealand,"1,882"
1-Feb-20,Core Infrastructure,Supplies,Brazil,52
1-Feb-20,Core Infrastructure,Supplies,Canada,"1,545"
1-Feb-20,Core Infrastructure,Supplies,New Zealand,"2,425"
1-Feb-20,Core Infrastructure,Supplies,USA,965
1-Feb-20,Core Infrastructure,Taxes,USA,8
1-Feb-20,Core Infrastructure,Telecomm,Brazil,"3,748"
1-Feb-20,Core Infrastructure,Telecomm,Canada,"1,748"
1-Feb-20,Core Infrastructure,Telecomm,New Zealand,"14,858"
1-Feb-20,Core Infrastructure,Telecomm,Switzerland,9
1-Feb-20,Core Infrastructure,Telecomm,USA,"10,107"
1-Feb-20,Core Infrastructure,Training,Mexico,39
1-Feb-20,Core Infrastructure,Training,USA,14
1-Feb-20,Core Infrastructure,Travel,Brazil,"2,799"
1-Feb-20,Core Infrastructure,Travel,Mexico,249
1-Feb-20,Core Infrastructure,Travel,New Zealand,"4,114"
1-Feb-20,Core Infrastructure,Travel,USA,155
1-Feb-20,Core Infrastructure,Vehicles,Mexico,20
1-Feb-20,Core Infrastructure,Vehicles,New Zealand,52
1-Feb-20,Data Centers,Amortization,USA,"1,725"
1-Feb-20,Data Centers,Depreciation,Ireland,612
1-Feb-20,Data Centers,Depreciation,United Kingdom,"19,275"
1-Feb-20,Data Centers,Depreciation,USA,"262,539"
1-Feb-20,Data Centers,Employee Performance,USA,138
1-Feb-20,Data Centers,External Labor,Germany,"3,161"
1-Feb-20,Data Centers,External Labor,Ireland,"102,105"
1-Feb-20,Data Centers,External Labor,United Kingdom,"3,934"
1-Feb-20,Data Centers,External Labor,USA,"235,382"
1-Feb-20,Data Centers,Hardware,United Kingdom,338
1-Feb-20,Data Centers,Hardware,USA,"13,078"
1-Feb-20,Data Centers,Hardware Maintenance,United Kingdom,"28,791"
1-Feb-20,Data Centers,Hardware Maintenance,USA,"66,069"
1-Feb-20,Data Centers,Internal Labor,Austria,"3,660"
1-Feb-20,Data Centers,Internal Labor,Germany,"5,113"
1-Feb-20,Data Centers,Internal Labor,Netherlands,"3,555"
1-Feb-20,Data Centers,Internal Labor,Spain,"3,126"
1-Feb-20,Data Centers,Internal Labor,United Kingdom,"10,127"
1-Feb-20,Data Centers,Internal Labor,USA,"131,641"
1-Feb-20,Data Centers,Other,Austria,110
1-Feb-20,Data Centers,Other,Netherlands,5
1-Feb-20,Data Centers,Other,Spain,42
1-Feb-20,Data Centers,Other,United Kingdom,"-3,041"
1-Feb-20,Data Centers,Other,USA,"1,069"
1-Feb-20,Data Centers,Project Expenses,United Kingdom,"9,073"
1-Feb-20,Data Centers,Project Expenses,USA,"2,042"
1-Feb-20,Data Centers,Recognition,Austria,32
1-Feb-20,Data Centers,Severance,Austria,35
1-Feb-20,Data Centers,Software,United Kingdom,"3,690"
1-Feb-20,Data Centers,Software,USA,"38,230"
1-Feb-20,Data Centers,Software Maintenance,United Kingdom,"14,980"
1-Feb-20,Data Centers,Software Maintenance,USA,"117,971"
1-Feb-20,Data Centers,Supplies,USA,68
1-Feb-20,Data Centers,Taxes,USA,"15,456"
1-Feb-20,Data Centers,Telecomm,Austria,13
1-Feb-20,Data Centers,Telecomm,United Kingdom,521
1-Feb-20,Data Centers,Telecomm,USA,"7,147"
1-Feb-20,Data Centers,Training,United Kingdom,580
1-Feb-20,Data Centers,Training,USA,"2,718"
1-Feb-20,Data Centers,Travel,Netherlands,381
1-Feb-20,Data Centers,Travel,Spain,206
1-Feb-20,Data Centers,Travel,United Kingdom,"2,030"
1-Feb-20,Data Centers,Travel,USA,124
1-Feb-20,Data Centers,Vehicles,Netherlands,329
1-Feb-20,Data Centers,Vehicles,United Kingdom,16
1-Feb-20,Data Management,Amortization,Germany,455
1-Feb-20,Data Management,Depreciation,Germany,"4,741"
1-Feb-20,Data Management,Internal Labor,Germany,"7,242"
1-Feb-20,Data Management,Internal Labor,Spain,"2,903"
1-Feb-20,Data Management,Other,Spain,127
1-Feb-20,Data Management,Supplies,Germany,229
1-Feb-20,Data Management,Telecomm,Germany,"19,169"
1-Feb-20,Data Management,Telecomm,Spain,5
1-Feb-20,Data Management,Training,Spain,9
1-Feb-20,Data Management,Travel,Spain,556
1-Feb-20,Data Management,Vehicles,Spain,272
1-Feb-20,Development,Employee Performance,USA,224
1-Feb-20,Development,External Labor,Germany,"5,729"
1-Feb-20,Development,External Labor,USA,"53,561"
1-Feb-20,Development,Hardware,USA,874
1-Feb-20,Development,Inbound Allocations,United Kingdom,59
1-Feb-20,Development,Internal Labor,Belgium,"13,040"
1-Feb-20,Development,Internal Labor,Germany,"-10,752"
1-Feb-20,Development,Internal Labor,Spain,"3,658"
1-Feb-20,Development,Internal Labor,United Kingdom,"6,593"
1-Feb-20,Development,Internal Labor,USA,"156,210"
1-Feb-20,Development,Other,Germany,28
1-Feb-20,Development,Other,United Kingdom,31
1-Feb-20,Development,Other,USA,174
1-Feb-20,Development,Outbound Allocations,United Kingdom,"1,604"
1-Feb-20,Development,Outbound Allocations,USA,-343
1-Feb-20,Development,Software,USA,452
1-Feb-20,Development,Supplies,USA,510
1-Feb-20,Development,Taxes,USA,987
1-Feb-20,Development,Telecomm,United Kingdom,124
1-Feb-20,Development,Telecomm,USA,"2,709"
1-Feb-20,Development,Training,United Kingdom,610
1-Feb-20,Development,Training,USA,185
1-Feb-20,Development,Travel,Spain,24
1-Feb-20,Development,Travel,United Kingdom,"1,104"
1-Feb-20,Development,Travel,USA,"3,762"
1-Feb-20,Development,Vehicles,United Kingdom,1
1-Feb-20,Distribution,Amortization,Italy,"5,296"
1-Feb-20,Distribution,Depreciation,Belgium,17
1-Feb-20,Distribution,Depreciation,Italy,279
1-Feb-20,Distribution,Depreciation,Switzerland,448
1-Feb-20,Distribution,Depreciation,United Kingdom,26
1-Feb-20,Distribution,External Labor,France,"16,038"
1-Feb-20,Distribution,External Labor,Germany,"2,071"
1-Feb-20,Distribution,External Labor,United Kingdom,"3,905"
1-Feb-20,Distribution,Hardware,Canada,56
1-Feb-20,Distribution,Hardware,USA,951
1-Feb-20,Distribution,Internal Labor,Belgium,"11,473"
1-Feb-20,Distribution,Internal Labor,Canada,"11,670"
1-Feb-20,Distribution,Internal Labor,France,"18,305"
1-Feb-20,Distribution,Internal Labor,Germany,"7,689"
1-Feb-20,Distribution,Internal Labor,Italy,"8,985"
1-Feb-20,Distribution,Internal Labor,Spain,"4,724"
1-Feb-20,Distribution,Internal Labor,Switzerland,"14,068"
1-Feb-20,Distribution,Internal Labor,United Kingdom,"9,101"
1-Feb-20,Distribution,Internal Labor,USA,"84,668"
1-Feb-20,Distribution,Moving,USA,543
1-Feb-20,Distribution,Other,Belgium,59
1-Feb-20,Distribution,Other,Canada,381
1-Feb-20,Distribution,Other,France,38
1-Feb-20,Distribution,Other,Germany,26
1-Feb-20,Distribution,Other,Spain,70
1-Feb-20,Distribution,Other,Switzerland,306
1-Feb-20,Distribution,Other,United Kingdom,706
1-Feb-20,Distribution,Outbound Allocations,United Kingdom,708
1-Feb-20,Distribution,Severance,Italy,350
1-Feb-20,Distribution,Software,USA,288
1-Feb-20,Distribution,Supplies,USA,26
1-Feb-20,Distribution,Telecomm,Belgium,67
1-Feb-20,Distribution,Telecomm,Canada,51
1-Feb-20,Distribution,Telecomm,Italy,5
1-Feb-20,Distribution,Telecomm,Switzerland,292
1-Feb-20,Distribution,Telecomm,United Kingdom,"8,306"
1-Feb-20,Distribution,Telecomm,USA,162
1-Feb-20,Distribution,Training,Belgium,"-4,359"
1-Feb-20,Distribution,Training,Germany,"3,139"
1-Feb-20,Distribution,Training,Spain,146
1-Feb-20,Distribution,Training,Switzerland,151
1-Feb-20,Distribution,Training,USA,763
1-Feb-20,Distribution,Travel,Belgium,"3,041"
1-Feb-20,Distribution,Travel,Canada,7
1-Feb-20,Distribution,Travel,France,2
1-Feb-20,Distribution,Travel,Germany,"2,579"
1-Feb-20,Distribution,Travel,Italy,88
1-Feb-20,Distribution,Travel,Spain,566
1-Feb-20,Distribution,Travel,Switzerland,74
1-Feb-20,Distribution,Travel,United Kingdom,186
1-Feb-20,Distribution,Travel,USA,"1,539"
1-Feb-20,Distribution,Vehicles,Belgium,320
1-Feb-20,Distribution,Vehicles,Germany,398
1-Feb-20,Distribution,Vehicles,United Kingdom,610
1-Feb-20,Document Management,Depreciation,USA,261
1-Feb-20,Document Management,Employee Performance,USA,85
1-Feb-20,Document Management,External Labor,USA,"60,416"
1-Feb-20,Document Management,Hardware,USA,269
1-Feb-20,Document Management,Hardware Maintenance,USA,16
1-Feb-20,Document Management,Internal Labor,USA,"173,748"
1-Feb-20,Document Management,Other,USA,149
1-Feb-20,Document Management,Software,USA,"-6,774"
1-Feb-20,Document Management,Software Maintenance,USA,"58,195"
1-Feb-20,Document Management,Supplies,USA,35
1-Feb-20,Document Management,Taxes,USA,137
1-Feb-20,Document Management,Telecomm,USA,"2,309"
1-Feb-20,EIM,Amortization,Italy,162
1-Feb-20,EIM,Depreciation,Italy,"1,606"
1-Feb-20,EIM,Employee Performance,USA,382
1-Feb-20,EIM,External Labor,USA,"91,428"
1-Feb-20,EIM,Hardware,USA,"2,112"
1-Feb-20,EIM,Internal Labor,Belgium,"-6,601"
1-Feb-20,EIM,Internal Labor,Italy,"2,185"
1-Feb-20,EIM,Internal Labor,USA,"111,433"
1-Feb-20,EIM,Other,Belgium,29
1-Feb-20,EIM,Other,Italy,29
1-Feb-20,EIM,Other,USA,43
