Date,IT Department,Cost Element,Country,Actual
07/01/2020,Administration,Employee Performance,USA,651
07/01/2020,Administration,External Labor,United Kingdom,"2,099"
07/01/2020,Administration,External Labor,USA,"61,941"
07/01/2020,Administration,Hardware,USA,443
07/01/2020,Administration,Internal Labor,Germany,"2,461"
07/01/2020,Administration,Internal Labor,Italy,"4,608"
07/01/2020,Administration,Internal Labor,United Kingdom,"22,221"
07/01/2020,Administration,Internal Labor,USA,"91,581"
07/01/2020,Administration,Legal,USA,46
07/01/2020,Administration,Moving,USA,"9,554"
07/01/2020,Administration,Other,USA,"-1,460"
07/01/2020,Administration,Outbound Allocations,United Kingdom,714
07/01/2020,Administration,Severance,Italy,265
07/01/2020,Administration,Software,USA,18
07/01/2020,Administration,Software Maintenance,USA,15
07/01/2020,Administration,Supplies,USA,130
07/01/2020,Administration,Telecomm,Italy,74
07/01/2020,Administration,Telecomm,USA,883
07/01/2020,Administration,Training,USA,218
07/01/2020,Administration,Travel,USA,"10,725"
07/01/2020,Architecture,Depreciation,USA,693
07/01/2020,Architecture,Employee Performance,USA,4
07/01/2020,Architecture,Hardware,USA,854
07/01/2020,Architecture,Internal Labor,USA,"40,477"
07/01/2020,Architecture,Moving,USA,88
07/01/2020,Architecture,Other,USA,"-1,627"
07/01/2020,Architecture,Software,USA,36
07/01/2020,Architecture,Software Maintenance,USA,30
07/01/2020,Architecture,Supplies,USA,7
07/01/2020,Architecture,Taxes,USA,44
07/01/2020,Architecture,Telecomm,USA,437
07/01/2020,Architecture,Training,USA,65
07/01/2020,Architecture,Travel,USA,587
07/01/2020,Business Intelligence,CAPEX,USA,15
07/01/2020,Business Intelligence,Employee Performance,USA,144
07/01/2020,Business Intelligence,External Labor,USA,"12,807"
07/01/2020,Business Intelligence,Internal Labor,USA,"63,880"
07/01/2020,Business Intelligence,Moving,USA,"1,330"
07/01/2020,Business Intelligence,Other,USA,61
07/01/2020,Business Intelligence,Software,USA,250
07/01/2020,Business Intelligence,Software Maintenance,USA,207
07/01/2020,Business Intelligence,Supplies,USA,6
07/01/2020,Business Intelligence,Telecomm,USA,311
07/01/2020,Business Intelligence,Training,USA,150
07/01/2020,Business Intelligence,Travel,USA,459
07/01/2020,Core,External Labor,USA,"32,987"
07/01/2020,Core,Internal Labor,USA,"20,089"
07/01/2020,Core,Other,USA,540
07/01/2020,Core,Telecomm,USA,652
07/01/2020,Core,Training,USA,44
07/01/2020,Core,Travel,USA,"5,789"
