Date,IT Department,Cost Element,Country,Actual
05/01/2020,Administration,Employee Performance,USA,"14,265"
05/01/2020,Administration,External Labor,United Kingdom,"4,385"
05/01/2020,Administration,External Labor,USA,"13,056"
05/01/2020,Administration,Hardware,USA,66
05/01/2020,Administration,Internal Labor,Germany,"20,399"
05/01/2020,Administration,Internal Labor,Italy,"5,087"
05/01/2020,Administration,Internal Labor,United Kingdom,"23,114"
05/01/2020,Administration,Internal Labor,USA,"126,128"
05/01/2020,Administration,Legal,USA,648
05/01/2020,Administration,Moving,USA,"18,227"
05/01/2020,Administration,Other,USA,669
05/01/2020,Administration,Outbound Allocations,United Kingdom,743
05/01/2020,Administration,Recognition,USA,44
05/01/2020,Administration,Severance,Italy,371
05/01/2020,Administration,Supplies,USA,227
05/01/2020,Administration,Telecomm,Italy,43
05/01/2020,Administration,Training,Germany,533
05/01/2020,Administration,Training,USA,525
05/01/2020,Administration,Travel,USA,"13,643"
05/01/2020,Architecture,Depreciation,USA,693
05/01/2020,Architecture,Hardware,USA,500
05/01/2020,Architecture,Internal Labor,USA,"39,924"
05/01/2020,Architecture,Moving,USA,62
05/01/2020,Architecture,Other,USA,"-1,583"
05/01/2020,Architecture,Taxes,USA,44
05/01/2020,Architecture,Training,USA,420
05/01/2020,Architecture,Travel,USA,"2,399"
05/01/2020,Business Intelligence,Employee Performance,USA,38
05/01/2020,Business Intelligence,External Labor,USA,"29,540"
05/01/2020,Business Intelligence,Hardware,USA,111
05/01/2020,Business Intelligence,Internal Labor,USA,"61,849"
05/01/2020,Business Intelligence,Supplies,USA,107
05/01/2020,Business Intelligence,Travel,USA,134
05/01/2020,Core,External Labor,USA,"4,573"
05/01/2020,Core,Hardware,USA,176
05/01/2020,Core,Internal Labor,USA,"19,502"
05/01/2020,Core,Other,USA,39
05/01/2020,Core,Travel,USA,625
05/01/2020,Core Infrastructure,Amortization,Mexico,"1,393"
05/01/2020,Core Infrastructure,Depreciation,Brazil,"17,711"
05/01/2020,Core Infrastructure,Depreciation,Canada,"5,033"
05/01/2020,Core Infrastructure,Depreciation,Mexico,"4,399"
05/01/2020,Core Infrastructure,Depreciation,New Zealand,"7,577"
05/01/2020,Core Infrastructure,External Labor,Brazil,"19,994"
