Date,IT Dep.,CostElement,Country,Forecast
07/01/2020,Administration,Administrative,USA,"-21,785"
08/01/2020,Administration,Administrative,USA,"-21,785"
09/01/2020,Administration,Administrative,USA,"-21,785"
10/01/2020,Administration,Administrative,USA,"-21,785"
11/01/2020,Administration,Administrative,USA,"-21,785"
12/01/2020,Administration,Administrative,USA,"-21,785"
02/01/2020,Administration,Employee Performance,USA,27
03/01/2020,Administration,Employee Performance,USA,150
04/01/2020,Administration,Employee Performance,USA,182
05/01/2020,Administration,Employee Performance,USA,"14,265"
06/01/2020,Administration,Employee Performance,USA,383
07/01/2020,Administration,Employee Performance,USA,87
08/01/2020,Administration,Employee Performance,USA,87
09/01/2020,Administration,Employee Performance,USA,87
10/01/2020,Administration,Employee Performance,USA,87
11/01/2020,Administration,Employee Performance,USA,87
12/01/2020,Administration,Employee Performance,USA,87
01/01/2020,Administration,External Labor,United Kingdom,"1,754"
02/01/2020,Administration,External Labor,United Kingdom,"3,535"
03/01/2020,Administration,External Labor,United Kingdom,"2,218"
04/01/2020,Administration,External Labor,United Kingdom,"2,048"
05/01/2020,Administration,External Labor,United Kingdom,"4,385"
06/01/2020,Administration,External Labor,United Kingdom,"1,486"
01/01/2020,Administration,External Labor,USA,"24,376"
02/01/2020,Administration,External Labor,USA,"1,205"
03/01/2020,Administration,External Labor,USA,"96,906"
04/01/2020,Administration,External Labor,USA,"31,261"
05/01/2020,Administration,External Labor,USA,"13,056"
06/01/2020,Administration,External Labor,USA,"23,936"
07/01/2020,Administration,External Labor,USA,"60,450"
08/01/2020,Administration,External Labor,USA,"108,000"
09/01/2020,Administration,External Labor,USA,"108,000"
10/01/2020,Administration,External Labor,USA,"114,030"
11/01/2020,Administration,External Labor,USA,"138,000"
12/01/2020,Administration,External Labor,USA,"138,000"
03/01/2020,Administration,Hardware,USA,"2,901"
04/01/2020,Administration,Hardware,USA,24
05/01/2020,Administration,Hardware,USA,66
01/01/2020,Administration,Hardware Maintenance,USA,"5,345"
02/01/2020,Administration,Hardware Maintenance,USA,"-5,345"
04/01/2020,Administration,Hardware Maintenance,USA,"86,480"
07/01/2020,Administration,Hardware Maintenance,USA,135
08/01/2020,Administration,Hardware Maintenance,USA,135
09/01/2020,Administration,Hardware Maintenance,USA,135
10/01/2020,Administration,Hardware Maintenance,USA,135
11/01/2020,Administration,Hardware Maintenance,USA,135
12/01/2020,Administration,Hardware Maintenance,USA,135
01/01/2020,Administration,Inbound Allocations,United Kingdom,318
03/01/2020,Administration,Inbound Allocations,United Kingdom,666
02/01/2020,Administration,Internal Labor,Germany,"-146,561"
03/01/2020,Administration,Internal Labor,Germany,"30,764"
04/01/2020,Administration,Internal Labor,Germany,"5,243"
05/01/2020,Administration,Internal Labor,Germany,"20,399"
06/01/2020,Administration,Internal Labor,Germany,938
01/01/2020,Administration,Internal Labor,Italy,"5,599"
02/01/2020,Administration,Internal Labor,Italy,"9,437"
03/01/2020,Administration,Internal Labor,Italy,"2,193"
04/01/2020,Administration,Internal Labor,Italy,"4,409"
05/01/2020,Administration,Internal Labor,Italy,"5,087"
06/01/2020,Administration,Internal Labor,Italy,"4,734"
01/01/2020,Administration,Internal Labor,United Kingdom,"21,365"
02/01/2020,Administration,Internal Labor,United Kingdom,"23,189"
03/01/2020,Administration,Internal Labor,United Kingdom,"21,311"
04/01/2020,Administration,Internal Labor,United Kingdom,"22,211"
05/01/2020,Administration,Internal Labor,United Kingdom,"23,114"
06/01/2020,Administration,Internal Labor,United Kingdom,"22,775"
07/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
08/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
09/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
10/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
11/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
12/01/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/01/2020,Administration,Internal Labor,USA,"90,994"
02/01/2020,Administration,Internal Labor,USA,"103,135"
03/01/2020,Administration,Internal Labor,USA,"116,809"
04/01/2020,Administration,Internal Labor,USA,"92,221"
05/01/2020,Administration,Internal Labor,USA,"126,128"
06/01/2020,Administration,Internal Labor,USA,"95,333"
07/01/2020,Administration,Internal Labor,USA,"107,178"
08/01/2020,Administration,Internal Labor,USA,"107,178"
09/01/2020,Administration,Internal Labor,USA,"107,178"
10/01/2020,Administration,Internal Labor,USA,"108,580"
11/01/2020,Administration,Internal Labor,USA,"108,580"
12/01/2020,Administration,Internal Labor,USA,"108,623"
01/01/2020,Administration,Legal,USA,"7,258"
02/01/2020,Administration,Legal,USA,"22,458"
03/01/2020,Administration,Legal,USA,562
04/01/2020,Administration,Legal,USA,"1,759"
05/01/2020,Administration,Legal,USA,648
07/01/2020,Administration,Legal,USA,"6,300"
08/01/2020,Administration,Legal,USA,"6,300"
09/01/2020,Administration,Legal,USA,"6,300"
10/01/2020,Administration,Legal,USA,"6,300"
11/01/2020,Administration,Legal,USA,"6,300"
12/01/2020,Administration,Legal,USA,"6,300"
01/01/2020,Administration,Moving,USA,404
02/01/2020,Administration,Moving,USA,744
03/01/2020,Administration,Moving,USA,867
04/01/2020,Administration,Moving,USA,"12,611"
05/01/2020,Administration,Moving,USA,"18,227"
06/01/2020,Administration,Moving,USA,"4,081"
07/01/2020,Administration,Moving,USA,"2,400"
02/01/2020,Administration,Other,Germany,35
01/01/2020,Administration,Other,Italy,12
03/01/2020,Administration,Other,Italy,-30
04/01/2020,Administration,Other,Italy,3
01/01/2020,Administration,Other,United Kingdom,18
02/01/2020,Administration,Other,United Kingdom,6
03/01/2020,Administration,Other,United Kingdom,13
01/01/2020,Administration,Other,USA,"-3,239"
02/01/2020,Administration,Other,USA,"-5,109"
03/01/2020,Administration,Other,USA,"29,563"
04/01/2020,Administration,Other,USA,"8,125"
05/01/2020,Administration,Other,USA,669
06/01/2020,Administration,Other,USA,182
07/01/2020,Administration,Other,USA,632
08/01/2020,Administration,Other,USA,"24,632"
09/01/2020,Administration,Other,USA,"20,132"
10/01/2020,Administration,Other,USA,"1,682"
11/01/2020,Administration,Other,USA,632
12/01/2020,Administration,Other,USA,"20,132"
01/01/2020,Administration,Outbound Allocations,United Kingdom,685
02/01/2020,Administration,Outbound Allocations,United Kingdom,708
03/01/2020,Administration,Outbound Allocations,United Kingdom,717
04/01/2020,Administration,Outbound Allocations,United Kingdom,714
05/01/2020,Administration,Outbound Allocations,United Kingdom,743
06/01/2020,Administration,Outbound Allocations,United Kingdom,732
07/01/2020,Administration,Outbound Allocations,United Kingdom,721
08/01/2020,Administration,Outbound Allocations,United Kingdom,721
09/01/2020,Administration,Outbound Allocations,United Kingdom,721
10/01/2020,Administration,Outbound Allocations,United Kingdom,721
11/01/2020,Administration,Outbound Allocations,United Kingdom,721
12/01/2020,Administration,Outbound Allocations,United Kingdom,721
05/01/2020,Administration,Recognition,USA,44
07/01/2020,Administration,Recognition,USA,23
08/01/2020,Administration,Recognition,USA,23
09/01/2020,Administration,Recognition,USA,23
10/01/2020,Administration,Recognition,USA,23
11/01/2020,Administration,Recognition,USA,23
12/01/2020,Administration,Recognition,USA,23
01/01/2020,Administration,Severance,Italy,388
02/01/2020,Administration,Severance,Italy,312
03/01/2020,Administration,Severance,Italy,"-42,763"
04/01/2020,Administration,Severance,Italy,332
05/01/2020,Administration,Severance,Italy,371
06/01/2020,Administration,Severance,Italy,452
01/01/2020,Administration,Software,USA,5
04/01/2020,Administration,Software Maintenance,USA,269
06/01/2020,Administration,Software Maintenance,USA,-269
01/01/2020,Administration,Supplies,USA,17
02/01/2020,Administration,Supplies,USA,30
03/01/2020,Administration,Supplies,USA,466
04/01/2020,Administration,Supplies,USA,244
05/01/2020,Administration,Supplies,USA,227
07/01/2020,Administration,Supplies,USA,458
08/01/2020,Administration,Supplies,USA,458
09/01/2020,Administration,Supplies,USA,458
10/01/2020,Administration,Supplies,USA,458
11/01/2020,Administration,Supplies,USA,458
12/01/2020,Administration,Supplies,USA,458
01/01/2020,Administration,Telecomm,Italy,2
02/01/2020,Administration,Telecomm,Italy,2
03/01/2020,Administration,Telecomm,Italy,82
04/01/2020,Administration,Telecomm,Italy,13
05/01/2020,Administration,Telecomm,Italy,43
06/01/2020,Administration,Telecomm,Italy,-1
01/01/2020,Administration,Telecomm,United Kingdom,103
02/01/2020,Administration,Telecomm,United Kingdom,85
03/01/2020,Administration,Telecomm,United Kingdom,215
02/01/2020,Administration,Telecomm,USA,"5,219"
03/01/2020,Administration,Telecomm,USA,"1,073"
04/01/2020,Administration,Telecomm,USA,"1,140"
06/01/2020,Administration,Telecomm,USA,"1,685"
07/01/2020,Administration,Telecomm,USA,"3,000"
08/01/2020,Administration,Telecomm,USA,"3,000"
09/01/2020,Administration,Telecomm,USA,"3,000"
10/01/2020,Administration,Telecomm,USA,"3,000"
11/01/2020,Administration,Telecomm,USA,"3,000"
12/01/2020,Administration,Telecomm,USA,"3,000"
02/01/2020,Administration,Training,Germany,767
03/01/2020,Administration,Training,Germany,"4,064"
05/01/2020,Administration,Training,Germany,533
03/01/2020,Administration,Training,USA,88
05/01/2020,Administration,Training,USA,525
06/01/2020,Administration,Training,USA,"1,069"
07/01/2020,Administration,Training,USA,"1,563"
08/01/2020,Administration,Training,USA,"1,563"
09/01/2020,Administration,Training,USA,"1,458"
10/01/2020,Administration,Training,USA,"1,458"
11/01/2020,Administration,Training,USA,"1,739"
12/01/2020,Administration,Training,USA,"2,411"
03/01/2020,Administration,Travel,Germany,95
06/01/2020,Administration,Travel,Italy,203
01/01/2020,Administration,Travel,USA,"6,934"
02/01/2020,Administration,Travel,USA,"19,226"
03/01/2020,Administration,Travel,USA,"10,518"
04/01/2020,Administration,Travel,USA,"10,570"
05/01/2020,Administration,Travel,USA,"13,643"
06/01/2020,Administration,Travel,USA,"17,817"
12/01/2020,Administration,Travel,USA,"18,600"
01/01/2020,Administration,Vehicles,United Kingdom,62
02/01/2020,Administration,Vehicles,United Kingdom,32
04/01/2020,Administration,Vehicles,United Kingdom,230
01/01/2020,Architecture,Depreciation,USA,693
02/01/2020,Architecture,Depreciation,USA,693
03/01/2020,Architecture,Depreciation,USA,693
04/01/2020,Architecture,Depreciation,USA,693
05/01/2020,Architecture,Depreciation,USA,693
06/01/2020,Architecture,Depreciation,USA,693
07/01/2020,Architecture,Depreciation,USA,693
08/01/2020,Architecture,Depreciation,USA,693
09/01/2020,Architecture,Depreciation,USA,693
10/01/2020,Architecture,Depreciation,USA,693
11/01/2020,Architecture,Depreciation,USA,693
12/01/2020,Architecture,Depreciation,USA,693
02/01/2020,Architecture,Employee Performance,USA,218
03/01/2020,Architecture,Employee Performance,USA,4
04/01/2020,Architecture,Employee Performance,USA,330
07/01/2020,Architecture,Employee Performance,USA,20
08/01/2020,Architecture,Employee Performance,USA,20
09/01/2020,Architecture,Employee Performance,USA,20
10/01/2020,Architecture,Employee Performance,USA,20
11/01/2020,Architecture,Employee Performance,USA,20
12/01/2020,Architecture,Employee Performance,USA,20
07/01/2020,Architecture,External Labor,USA,"2,157"
08/01/2020,Architecture,External Labor,USA,"2,157"
09/01/2020,Architecture,External Labor,USA,"2,157"
10/01/2020,Architecture,External Labor,USA,"2,157"
11/01/2020,Architecture,External Labor,USA,"2,157"
12/01/2020,Architecture,External Labor,USA,"2,157"
03/01/2020,Architecture,Hardware,USA,240
05/01/2020,Architecture,Hardware,USA,500
07/01/2020,Architecture,Hardware,USA,"1,609"
08/01/2020,Architecture,Hardware,USA,"1,609"
09/01/2020,Architecture,Hardware,USA,"1,609"
10/01/2020,Architecture,Hardware,USA,"1,609"
11/01/2020,Architecture,Hardware,USA,"1,609"
12/01/2020,Architecture,Hardware,USA,"1,609"
07/01/2020,Architecture,Hardware Maintenance,USA,15
08/01/2020,Architecture,Hardware Maintenance,USA,15
09/01/2020,Architecture,Hardware Maintenance,USA,15
10/01/2020,Architecture,Hardware Maintenance,USA,15
11/01/2020,Architecture,Hardware Maintenance,USA,15
12/01/2020,Architecture,Hardware Maintenance,USA,15
01/01/2020,Architecture,Internal Labor,USA,"41,537"
02/01/2020,Architecture,Internal Labor,USA,"43,028"
03/01/2020,Architecture,Internal Labor,USA,"45,385"
04/01/2020,Architecture,Internal Labor,USA,"41,175"
05/01/2020,Architecture,Internal Labor,USA,"39,924"
06/01/2020,Architecture,Internal Labor,USA,"40,012"
07/01/2020,Architecture,Internal Labor,USA,"41,300"
08/01/2020,Architecture,Internal Labor,USA,"41,149"
09/01/2020,Architecture,Internal Labor,USA,"40,889"
10/01/2020,Architecture,Internal Labor,USA,"41,325"
11/01/2020,Architecture,Internal Labor,USA,"41,192"
12/01/2020,Architecture,Internal Labor,USA,"41,184"
05/01/2020,Architecture,Moving,USA,62
02/01/2020,Architecture,Other,USA,"9,379"
03/01/2020,Architecture,Other,USA,"-1,583"
04/01/2020,Architecture,Other,USA,"-1,583"
05/01/2020,Architecture,Other,USA,"-1,583"
06/01/2020,Architecture,Other,USA,-375
07/01/2020,Architecture,Other,USA,514
08/01/2020,Architecture,Other,USA,514
09/01/2020,Architecture,Other,USA,"7,264"
10/01/2020,Architecture,Other,USA,"7,264"
11/01/2020,Architecture,Other,USA,"7,264"
12/01/2020,Architecture,Other,USA,"7,264"
07/01/2020,Architecture,Recognition,USA,26
08/01/2020,Architecture,Recognition,USA,26
09/01/2020,Architecture,Recognition,USA,26
10/01/2020,Architecture,Recognition,USA,26
11/01/2020,Architecture,Recognition,USA,26
12/01/2020,Architecture,Recognition,USA,26
07/01/2020,Architecture,Software,USA,"1,071"
08/01/2020,Architecture,Software,USA,"1,071"
09/01/2020,Architecture,Software,USA,"1,071"
10/01/2020,Architecture,Software,USA,"1,071"
11/01/2020,Architecture,Software,USA,"1,071"
12/01/2020,Architecture,Software,USA,"1,071"
04/01/2020,Architecture,Software Maintenance,USA,539
06/01/2020,Architecture,Software Maintenance,USA,-539
01/01/2020,Architecture,Supplies,USA,26
02/01/2020,Architecture,Supplies,USA,2
03/01/2020,Architecture,Supplies,USA,27
04/01/2020,Architecture,Supplies,USA,79
06/01/2020,Architecture,Supplies,USA,90
07/01/2020,Architecture,Supplies,USA,311
08/01/2020,Architecture,Supplies,USA,311
09/01/2020,Architecture,Supplies,USA,311
10/01/2020,Architecture,Supplies,USA,311
11/01/2020,Architecture,Supplies,USA,311
12/01/2020,Architecture,Supplies,USA,311
01/01/2020,Architecture,Taxes,USA,48
02/01/2020,Architecture,Taxes,USA,39
03/01/2020,Architecture,Taxes,USA,44
04/01/2020,Architecture,Taxes,USA,44
05/01/2020,Architecture,Taxes,USA,44
06/01/2020,Architecture,Taxes,USA,44
07/01/2020,Architecture,Taxes,USA,44
08/01/2020,Architecture,Taxes,USA,44
09/01/2020,Architecture,Taxes,USA,44
10/01/2020,Architecture,Taxes,USA,44
11/01/2020,Architecture,Taxes,USA,44
12/01/2020,Architecture,Taxes,USA,44
02/01/2020,Architecture,Telecomm,USA,263
03/01/2020,Architecture,Telecomm,USA,516
04/01/2020,Architecture,Telecomm,USA,178
06/01/2020,Architecture,Telecomm,USA,771
07/01/2020,Architecture,Telecomm,USA,"1,180"
08/01/2020,Architecture,Telecomm,USA,"1,180"
09/01/2020,Architecture,Telecomm,USA,"1,180"
10/01/2020,Architecture,Telecomm,USA,"1,180"
11/01/2020,Architecture,Telecomm,USA,"1,180"
12/01/2020,Architecture,Telecomm,USA,"1,180"
01/01/2020,Architecture,Training,USA,14
03/01/2020,Architecture,Training,USA,"1,106"
04/01/2020,Architecture,Training,USA,315
05/01/2020,Architecture,Training,USA,420
07/01/2020,Architecture,Training,USA,"1,941"
08/01/2020,Architecture,Training,USA,"1,941"
09/01/2020,Architecture,Training,USA,"1,941"
10/01/2020,Architecture,Training,USA,"1,941"
11/01/2020,Architecture,Training,USA,"1,941"
12/01/2020,Architecture,Training,USA,205
01/01/2020,Architecture,Travel,USA,54
02/01/2020,Architecture,Travel,USA,109
03/01/2020,Architecture,Travel,USA,"1,649"
05/01/2020,Architecture,Travel,USA,"2,399"
06/01/2020,Architecture,Travel,USA,"4,446"
07/01/2020,Architecture,Travel,USA,442
08/01/2020,Architecture,Travel,USA,442
09/01/2020,Architecture,Travel,USA,442
10/01/2020,Architecture,Travel,USA,442
11/01/2020,Architecture,Travel,USA,442
07/01/2020,Business Intelligence,Administrative,USA,-225
08/01/2020,Business Intelligence,Administrative,USA,-225
09/01/2020,Business Intelligence,Administrative,USA,-225
10/01/2020,Business Intelligence,Administrative,USA,-225
11/01/2020,Business Intelligence,Administrative,USA,-225
12/01/2020,Business Intelligence,Administrative,USA,-225
03/01/2020,Business Intelligence,CAPEX,USA,"-4,080"
04/01/2020,Business Intelligence,CAPEX,USA,336
06/01/2020,Business Intelligence,CAPEX,USA,"4,195"
01/01/2020,Business Intelligence,Employee Performance,USA,2
02/01/2020,Business Intelligence,Employee Performance,USA,22
03/01/2020,Business Intelligence,Employee Performance,USA,75
04/01/2020,Business Intelligence,Employee Performance,USA,4
05/01/2020,Business Intelligence,Employee Performance,USA,38
06/01/2020,Business Intelligence,Employee Performance,USA,16
07/01/2020,Business Intelligence,Employee Performance,USA,191
08/01/2020,Business Intelligence,Employee Performance,USA,191
09/01/2020,Business Intelligence,Employee Performance,USA,191
10/01/2020,Business Intelligence,Employee Performance,USA,191
11/01/2020,Business Intelligence,Employee Performance,USA,191
12/01/2020,Business Intelligence,Employee Performance,USA,191
01/01/2020,Business Intelligence,External Labor,USA,"3,636"
02/01/2020,Business Intelligence,External Labor,USA,"16,966"
03/01/2020,Business Intelligence,External Labor,USA,"8,366"
04/01/2020,Business Intelligence,External Labor,USA,"8,371"
05/01/2020,Business Intelligence,External Labor,USA,"29,540"
06/01/2020,Business Intelligence,External Labor,USA,"1,089"
07/01/2020,Business Intelligence,External Labor,USA,"16,007"
08/01/2020,Business Intelligence,External Labor,USA,"16,007"
09/01/2020,Business Intelligence,External Labor,USA,"16,007"
10/01/2020,Business Intelligence,External Labor,USA,"16,007"
11/01/2020,Business Intelligence,External Labor,USA,"16,007"
12/01/2020,Business Intelligence,External Labor,USA,"16,007"
03/01/2020,Business Intelligence,Hardware,USA,426
04/01/2020,Business Intelligence,Hardware,USA,4
05/01/2020,Business Intelligence,Hardware,USA,111
06/01/2020,Business Intelligence,Hardware,USA,"1,192"
07/01/2020,Business Intelligence,Hardware,USA,136
08/01/2020,Business Intelligence,Hardware,USA,136
09/01/2020,Business Intelligence,Hardware,USA,136
10/01/2020,Business Intelligence,Hardware,USA,136
11/01/2020,Business Intelligence,Hardware,USA,136
12/01/2020,Business Intelligence,Hardware,USA,136
07/01/2020,Business Intelligence,Hardware Maintenance,USA,136
08/01/2020,Business Intelligence,Hardware Maintenance,USA,136
09/01/2020,Business Intelligence,Hardware Maintenance,USA,136
10/01/2020,Business Intelligence,Hardware Maintenance,USA,136
11/01/2020,Business Intelligence,Hardware Maintenance,USA,136
12/01/2020,Business Intelligence,Hardware Maintenance,USA,136
01/01/2020,Business Intelligence,Internal Labor,USA,"64,388"
02/01/2020,Business Intelligence,Internal Labor,USA,"63,595"
03/01/2020,Business Intelligence,Internal Labor,USA,"70,502"
04/01/2020,Business Intelligence,Internal Labor,USA,"64,353"
05/01/2020,Business Intelligence,Internal Labor,USA,"61,849"
06/01/2020,Business Intelligence,Internal Labor,USA,"62,593"
07/01/2020,Business Intelligence,Internal Labor,USA,"63,985"
08/01/2020,Business Intelligence,Internal Labor,USA,"63,981"
09/01/2020,Business Intelligence,Internal Labor,USA,"63,736"
10/01/2020,Business Intelligence,Internal Labor,USA,"64,817"
11/01/2020,Business Intelligence,Internal Labor,USA,"63,997"
12/01/2020,Business Intelligence,Internal Labor,USA,"63,852"
02/01/2020,Business Intelligence,Other,USA,454
03/01/2020,Business Intelligence,Other,USA,2
04/01/2020,Business Intelligence,Other,USA,12
07/01/2020,Business Intelligence,Other,USA,100
08/01/2020,Business Intelligence,Other,USA,100
09/01/2020,Business Intelligence,Other,USA,100
10/01/2020,Business Intelligence,Other,USA,100
11/01/2020,Business Intelligence,Other,USA,100
12/01/2020,Business Intelligence,Other,USA,100
07/01/2020,Business Intelligence,Recognition,USA,56
08/01/2020,Business Intelligence,Recognition,USA,56
09/01/2020,Business Intelligence,Recognition,USA,56
10/01/2020,Business Intelligence,Recognition,USA,56
11/01/2020,Business Intelligence,Recognition,USA,56
12/01/2020,Business Intelligence,Recognition,USA,56
07/01/2020,Business Intelligence,Software,USA,93
08/01/2020,Business Intelligence,Software,USA,93
09/01/2020,Business Intelligence,Software,USA,93
10/01/2020,Business Intelligence,Software,USA,93
11/01/2020,Business Intelligence,Software,USA,93
12/01/2020,Business Intelligence,Software,USA,93
04/01/2020,Business Intelligence,Software Maintenance,USA,"3,772"
06/01/2020,Business Intelligence,Software Maintenance,USA,"-3,772"
07/01/2020,Business Intelligence,Software Maintenance,USA,"5,501"
08/01/2020,Business Intelligence,Software Maintenance,USA,105
09/01/2020,Business Intelligence,Software Maintenance,USA,105
10/01/2020,Business Intelligence,Software Maintenance,USA,105
11/01/2020,Business Intelligence,Software Maintenance,USA,105
12/01/2020,Business Intelligence,Software Maintenance,USA,105
01/01/2020,Business Intelligence,Supplies,USA,19
02/01/2020,Business Intelligence,Supplies,USA,18
03/01/2020,Business Intelligence,Supplies,USA,336
04/01/2020,Business Intelligence,Supplies,USA,136
05/01/2020,Business Intelligence,Supplies,USA,107
07/01/2020,Business Intelligence,Supplies,USA,210
08/01/2020,Business Intelligence,Supplies,USA,210
09/01/2020,Business Intelligence,Supplies,USA,210
10/01/2020,Business Intelligence,Supplies,USA,210
11/01/2020,Business Intelligence,Supplies,USA,210
12/01/2020,Business Intelligence,Supplies,USA,210
02/01/2020,Business Intelligence,Telecomm,USA,272
03/01/2020,Business Intelligence,Telecomm,USA,368
04/01/2020,Business Intelligence,Telecomm,USA,111
06/01/2020,Business Intelligence,Telecomm,USA,407
07/01/2020,Business Intelligence,Telecomm,USA,150
08/01/2020,Business Intelligence,Telecomm,USA,150
09/01/2020,Business Intelligence,Telecomm,USA,150
10/01/2020,Business Intelligence,Telecomm,USA,150
11/01/2020,Business Intelligence,Telecomm,USA,150
12/01/2020,Business Intelligence,Telecomm,USA,150
02/01/2020,Business Intelligence,Training,USA,567
03/01/2020,Business Intelligence,Training,USA,264
04/01/2020,Business Intelligence,Training,USA,884
06/01/2020,Business Intelligence,Training,USA,"1,013"
07/01/2020,Business Intelligence,Training,USA,"2,555"
08/01/2020,Business Intelligence,Training,USA,"2,555"
09/01/2020,Business Intelligence,Training,USA,"2,555"
10/01/2020,Business Intelligence,Training,USA,"2,555"
11/01/2020,Business Intelligence,Training,USA,"2,555"
12/01/2020,Business Intelligence,Training,USA,"2,555"
02/01/2020,Business Intelligence,Travel,USA,2
04/01/2020,Business Intelligence,Travel,USA,659
05/01/2020,Business Intelligence,Travel,USA,134
06/01/2020,Business Intelligence,Travel,USA,"1,260"
07/01/2020,Business Intelligence,Travel,USA,"2,108"
08/01/2020,Business Intelligence,Travel,USA,"4,208"
09/01/2020,Business Intelligence,Travel,USA,"2,108"
10/01/2020,Business Intelligence,Travel,USA,"2,108"
11/01/2020,Business Intelligence,Travel,USA,"4,208"
12/01/2020,Business Intelligence,Travel,USA,"2,108"
02/01/2020,Core,Employee Performance,USA,60
04/01/2020,Core,Employee Performance,USA,53
06/01/2020,Core,Employee Performance,USA,784
07/01/2020,Core,Employee Performance,USA,29
08/01/2020,Core,Employee Performance,USA,29
09/01/2020,Core,Employee Performance,USA,29
10/01/2020,Core,Employee Performance,USA,29
11/01/2020,Core,Employee Performance,USA,29
12/01/2020,Core,Employee Performance,USA,29
01/01/2020,Core,External Labor,USA,"1,723"
02/01/2020,Core,External Labor,USA,"5,168"
03/01/2020,Core,External Labor,USA,"-1,723"
04/01/2020,Core,External Labor,USA,"4,573"
05/01/2020,Core,External Labor,USA,"4,573"
06/01/2020,Core,External Labor,USA,"1,766"
07/01/2020,Core,External Labor,USA,"3,000"
08/01/2020,Core,External Labor,USA,"3,000"
09/01/2020,Core,External Labor,USA,"3,000"
10/01/2020,Core,External Labor,USA,"3,000"
03/01/2020,Core,Hardware,USA,10
05/01/2020,Core,Hardware,USA,176
01/01/2020,Core,Internal Labor,USA,"20,476"
02/01/2020,Core,Internal Labor,USA,"21,254"
03/01/2020,Core,Internal Labor,USA,"23,722"
04/01/2020,Core,Internal Labor,USA,"20,209"
05/01/2020,Core,Internal Labor,USA,"19,502"
06/01/2020,Core,Internal Labor,USA,"19,660"
07/01/2020,Core,Internal Labor,USA,"36,254"
08/01/2020,Core,Internal Labor,USA,"36,254"
09/01/2020,Core,Internal Labor,USA,"36,254"
10/01/2020,Core,Internal Labor,USA,"36,254"
11/01/2020,Core,Internal Labor,USA,"36,254"
12/01/2020,Core,Internal Labor,USA,"36,254"
04/01/2020,Core,Other,USA,24
05/01/2020,Core,Other,USA,39
07/01/2020,Core,Other,USA,"32,296"
08/01/2020,Core,Other,USA,"32,296"
09/01/2020,Core,Other,USA,"32,296"
10/01/2020,Core,Other,USA,"32,296"
11/01/2020,Core,Other,USA,"32,296"
12/01/2020,Core,Other,USA,"32,296"
07/01/2020,Core,Recognition,USA,8
08/01/2020,Core,Recognition,USA,8
09/01/2020,Core,Recognition,USA,8
10/01/2020,Core,Recognition,USA,8
11/01/2020,Core,Recognition,USA,8
12/01/2020,Core,Recognition,USA,8
06/01/2020,Core,Software,USA,73
02/01/2020,Core,Telecomm,United Kingdom,166
02/01/2020,Core,Telecomm,USA,"1,017"
03/01/2020,Core,Telecomm,USA,232
04/01/2020,Core,Telecomm,USA,340
06/01/2020,Core,Telecomm,USA,458
01/01/2020,Core,Training,USA,399
02/01/2020,Core,Training,USA,326
01/01/2020,Core,Travel,USA,108
02/01/2020,Core,Travel,USA,479
03/01/2020,Core,Travel,USA,"3,773"
04/01/2020,Core,Travel,USA,"2,607"
05/01/2020,Core,Travel,USA,625
06/01/2020,Core,Travel,USA,634
07/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
08/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
09/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
10/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
11/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
12/01/2020,Core Infrastructure,Administrative,Brazil,"-71,184"
01/01/2020,Core Infrastructure,Amortization,Mexico,691
02/01/2020,Core Infrastructure,Amortization,Mexico,"1,009"
03/01/2020,Core Infrastructure,Amortization,Mexico,"1,002"
04/01/2020,Core Infrastructure,Amortization,Mexico,"1,351"
05/01/2020,Core Infrastructure,Amortization,Mexico,"1,393"
06/01/2020,Core Infrastructure,Amortization,Mexico,"1,383"
07/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
08/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
09/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
10/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
11/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
12/01/2020,Core Infrastructure,Amortization,Mexico,"-1,138"
01/01/2020,Core Infrastructure,Depreciation,Brazil,"14,333"
02/01/2020,Core Infrastructure,Depreciation,Brazil,"12,901"
03/01/2020,Core Infrastructure,Depreciation,Brazil,"13,464"
04/01/2020,Core Infrastructure,Depreciation,Brazil,"12,224"
05/01/2020,Core Infrastructure,Depreciation,Brazil,"17,711"
06/01/2020,Core Infrastructure,Depreciation,Brazil,"12,884"
07/01/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
08/01/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
09/01/2020,Core Infrastructure,Depreciation,Brazil,"23,512"
